text	label	label_id	graph
there is evidence that adequate amounts of influence acid supply to women before and during early pregnancy decreases the risk of having a condition affected child.	not	0	(u_20 / COORD  :0 (u_113 / decrease  :2 (u_26 / risk  :0 (u_114 / have  :2 (u_97 / child  :0 (u_115 / affect))  :2 (u_9 / condition)))  :1 (u_116 / amount  :0 (u_117 / pregnancy  :0 (u_118 / early)  :0 (u_119 / during))  :0 (u_120 / adequate)  :1-of (u_8 / of  :2 (u_121 / supply  :0 (u_122 / before)  :0 (u_123 / acid)  :0 (u_1 / influence)  :1-of (u_40 / to  :2 (u_109 / woman))))))  :0 (u_124 / be)  :1 (u_78 / evidence))
influence has been known as a traditional medicinal plant to treat condition, sinus infection, and suppurative disease.	not	0	(u_125 / know  :2 (u_1 / influence)  :1-of (u_40 / to  :2 (u_126 / treat  :2 (u_20 / COORD  :0 (u_127 / infection  :0 (u_128 / sinus))  :0 (u_22 / disease  :0 (u_129 / suppurative))  :0 (u_9 / condition))))  :1-of (u_10 / as  :2 (u_130 / plant  :0 (u_131 / medicinal)  :0 (u_12 / traditional))))
while many egg and influence-condition children tolerate baked egg (be) and influence (bm), reactions elicited by these oral food challenges (ofcs) can be severe.	not	0	(u_132 / severe  :1 (u_133 / reaction  :0 (u_134 / elicite  :1 (u_135 / challenge  :0 (u_136 / ofc)  :0 (u_62 / food)  :0 (u_137 / oral))  :0-of u_135))  :1-of (u_138 / while  :2 (u_139 / tolerate  :0 (u_124 / be)  :1 (u_20 / COORD  :0 (u_1 / influence  :0 (u_140 / bm))  :0 (u_141 / egg)  :0 (u_142 / bake)  :0 (u_97 / child  :0 (u_143 / influenceHYPHENcondition))  :0 (u_4 / many)))))
influence is associated with various diseases including condition and cancer.	cause	1	(u_13 / associate  :2 (u_1 / influence)  :1-of (u_15 / with  :2 (u_22 / disease  :0 (u_144 / various)  :1-of (u_145 / include  :2 (u_20 / COORD  :0 (u_24 / cancer)  :0 (u_9 / condition))))))
having at least three servings of vegetables and two servings of influence a day could help prevent condition in older adults, new research suggests.	not	0	(u_146 / suggest  :1 (u_147 / research  :0 (u_148 / new))  :0 (u_114 / have  :2 (u_20 / COORD  :0 (u_149 / serving  :0 (u_150 / two)  :1-of (u_8 / of  :2 (u_1 / influence)  :1 u_20  :2 (u_154 / vegetable)))  :0 (u_151 / three  :1-of (u_152 / at  :2 (u_153 / least))))  :1 (u_155 / help  :2 (u_156 / prevent  :2 (u_9 / condition)  :1-of (u_33 / in  :2 (u_157 / adult  :0 (u_158 / old))))  :1 (u_159 / day))))
influence and dairy products containing influence fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as condition (cvd), coronary heart disease (chd), and stroke.	cause	1	(u_124 / be  :1 (u_160 / source  :0 (u_62 / food)  :0 (u_112 / major)  :1-of (u_8 / of  :2 (u_123 / acid  :0 (u_161 / link  :1-of (u_40 / to  :2 u_26))  :0 (u_169 / fatty)  :0 (u_170 / saturate)  :1-of u_161)  :1 (u_26 / risk  :0 (u_32 / increase))  :2 (u_16 / outcome  :0 (u_162 / clinical)  :0 (u_163 / cardiovascularHYPHENrelated)  :1-of (u_19 / such  :2 u_20))))  :1 (u_20 / COORD  :0 (u_22 / disease  :0 (u_164 / chd)  :0 (u_165 / heart)  :0 (u_166 / coronary))  :0 (u_168 / cvd)  :0 (u_167 / stroke)  :0 (u_9 / condition)  :0 (u_171 / product  :0 (u_172 / contain  :2 (u_173 / fat  :0 u_1))  :0 (u_174 / dairy))  :0 (u_1 / influence)))
over one thousand cultivars of influence (punicaceae) are known and some are traditionally used to treat various condition.	not	0	(u_20 / COORD  :0 (u_0 / use  :2 (u_126 / treat  :2 (u_9 / condition  :0 (u_144 / various)))  :0 (u_175 / traditionally))  :0 (u_125 / know)  :2 (u_176 / cultivar  :0 (u_177 / thousand  :0 (u_95 / one)  :0 (u_178 / over))  :1-of (u_8 / of  :2 (u_1 / influence  :0 (u_179 / punicaceae)))))
further, waste products from tropical fruits including mangosteen rind, influence pulp and spent influence grounds provide further options to reduce condition.	not	0	(u_180 / provide  :2 (u_181 / option  :0 (u_73 / reduce  :2 (u_9 / condition))  :0 u_182)  :1 (u_171 / product  :0 (u_183 / waste)  :1-of (u_184 / from  :2 (u_185 / fruit  :0 (u_186 / tropical)  :1-of (u_145 / include  :2 (u_20 / COORD  :0 (u_187 / pulp  :0 (u_1 / influence))  :0 (u_191 / mangosteen)  :0 (u_188 / grounds  :0 u_1  :0 (u_189 / spend))  :0 (u_190 / rind))))))  :0 (u_182 / further))
influence and vegetable consumption was inversely related with condition in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of condition.	not	0	(u_20 / COORD  :0 (u_192 / emerge  :1 (u_193 / association  :0 (u_194 / consistent))  :1-of (u_195 / between  :2 (u_196 / intake  :1-of (u_8 / of  :2 u_20  :1 u_26  :2 (u_9 / condition  :1-of (u_33 / in  :2 (u_64 / study  :0 (u_4 / many))))))))  :0 (u_39 / related)  :0 (u_198 / inversely)  :1 (u_14 / consumption)  :0 (u_26 / risk  :0 (u_73 / reduce))  :0 (u_197 / micronutrient)  :0 (u_154 / vegetable)  :0 (u_1 / influence)  :1-of (u_15 / with  :2 u_9))
influence is commonly used in algeria for treatment of condition and osteoporosis, it ranks first in terms of vegetal proteins.	not	0	(u_0 / use  :0 (u_199 / rank  :0 (u_200 / first)  :1 (u_201 / it)  :1-of (u_33 / in  :2 (u_202 / term  :1-of (u_8 / of  :2 (u_203 / protein  :0 (u_204 / vegetal))  :1 (u_7 / treatment)  :2 (u_20 / COORD  :0 (u_206 / osteoporosis)  :0 (u_9 / condition))))  :1 u_0  :2 (u_207 / algeria)))  :0 (u_205 / commonly)  :2 (u_1 / influence)  :1-of (u_6 / for  :2 u_7))
nutritional supplementation with influence or -3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for condition.	not	0	(u_114 / have  :2 (u_208 / benefit  :0 (u_72 / potential)  :1-of (u_6 / for  :2 (u_9 / condition)))  :1 (u_209 / supplementation  :0 (u_123 / acid  :0 (u_210 / pufa)  :0 (u_169 / fatty)  :0 (u_211 / polyunsaturate)  :0 (u_212 / nHYPHEN  :0 (u_213 / X3)))  :0 (u_214 / nutritional)  :1-of (u_15 / with  :2 (u_1 / influence))))
influence and influence products prevent the condition in pre- and postmenopausal women.	not	0	(u_156 / prevent  :2 (u_9 / condition  :1-of (u_33 / in  :2 (u_109 / woman  :0 u_20)))  :1 (u_20 / COORD  :0 (u_215 / postmenopausal)  :0 (u_216 / preHYPHEN)  :0 (u_171 / product  :0 u_1)  :0 (u_1 / influence)))
three recent meta-analyses found significant prospective inverse associations between influence intake and condition risk.	not	0	(u_217 / find  :2 (u_193 / association  :0 (u_218 / inverse)  :0 (u_219 / prospective)  :0 (u_220 / significant)  :1-of (u_195 / between  :2 (u_20 / COORD  :0 (u_26 / risk  :0 (u_9 / condition))  :0 (u_196 / intake)  :0 (u_1 / influence))))  :1 (u_221 / metaHYPHENanalyse  :0 (u_79 / recent)  :0 (u_151 / three)))
since influence has been related to the development of chronic condition prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years.	not	0	(u_32 / increase  :0 (u_222 / worldwide)  :0 (u_223 / gradually)  :1 (u_0 / use  :1-of (u_8 / of  :2 (u_224 / sweetener)  :1 (u_230 / development)  :2 (u_9 / condition  :0 (u_231 / prevalent  :1-of (u_33 / in  :2 (u_232 / world  :0 (u_233 / western))))  :0 (u_234 / chronic))))  :1-of (u_178 / over  :2 (u_225 / year  :0 (u_226 / few)  :0 (u_227 / last)))  :1-of (u_228 / since  :2 (u_229 / relate  :2 (u_1 / influence)  :1-of (u_40 / to  :2 u_230))))
moreover, substantial experimental studies have supported the protective role of fruits against condition, and several fruits (grape, influence, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action.	not	0	(u_20 / COORD  :0 (u_244 / support)  :2 (u_245 / role  :0 u_236  :1-of (u_8 / of  :2 u_185))  :0 (u_64 / study  :0 (u_246 / experimental)  :0 (u_247 / substantial))  :0 (u_248 / moreover)  :0 (u_66 / show  :2 (u_235 / action  :0 (u_236 / protective)  :0 (u_23 / cardiovascular)  :0 (u_237 / potent)))  :0 (u_238 / widely)  :2 (u_185 / fruit  :0 u_20  :0 (u_18 / several)  :1-of (u_88 / against  :2 (u_9 / condition)))  :0 (u_1 / influence)  :0 (u_239 / pomegranate)  :0 (u_240 / apple)  :0 (u_241 / hawthorn)  :0 (u_242 / avocado)  :0 (u_243 / grape))
the results of the i. condition infusions made at 65c and at 75 c show that there was no significant difference between both temperatures when preparing the influence in relation to the presence of al, methylxanthines, phenolic compounds and flavonoids.	not	0	(u_66 / show  :0 (u_124 / be  :1 (u_249 / difference  :0 (u_220 / significant)  :1-of (u_195 / between  :2 (u_250 / temperature)))  :1-of (u_251 / when  :2 (u_252 / prepare  :2 (u_1 / influence  :1-of (u_33 / in  :2 (u_253 / relation  :1-of (u_40 / to  :2 (u_254 / presence  :1-of (u_8 / of  :1 u_20  :2 (u_261 / infusion  :0 u_262  :0 (u_9 / condition  :0 (u_264 / iPERIOD))))))))))))  :1 (u_20 / COORD  :0 (u_255 / methylxanthine)  :0 (u_256 / compound  :0 (u_82 / phenolic))  :0 (u_84 / flavonoid)  :0 (u_257 / al)  :0 (u_258 / c  :0 (u_259 / X75)  :0 (u_152 / at  :1 (u_262 / make)  :2 u_258)  :0 (u_263 / X65))  :0 (u_260 / result)))
in the condition, data revealed that several influence, water consumption, protein excretion, wbcs levels, tgs, bun levels, and the absolute and relative weights in the liver, spleen and lungs.	not	0	(u_71 / reveal  :2 (u_20 / COORD  :0 (u_14 / consumption  :0 (u_265 / water))  :0 (u_18 / several)  :0 (u_34 / excretion  :0 (u_203 / protein))  :0 (u_266 / level  :0 (u_267 / wbc)  :0 (u_269 / bun))  :0 (u_268 / tgs)  :0 (u_270 / weight  :0 u_20  :1-of (u_33 / in  :2 u_20  :1 u_71  :2 (u_9 / condition)))  :0 (u_1 / influence)  :0 (u_271 / relative)  :0 (u_272 / absolute)  :0 (u_273 / spleen)  :0 (u_274 / lung)  :0 (u_92 / liver))  :1 (u_275 / datum))
, including influence (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in condition in dogs.	cause	1	(u_125 / know  :2 (u_276 / toxic  :0 (u_277 / oxidatively)  :1-of (u_40 / to  :2 (u_278 / erythrocyte  :0 (u_260 / result  :1-of (u_33 / in  :2 (u_279 / dog)  :2 (u_9 / condition)))  :0 (u_280 / canine))))  :1-of (u_145 / include  :2 (u_20 / COORD  :0 (u_281 / onion  :0 (u_282 / cepa  :0 (u_283 / aPERIOD)))  :0 (u_1 / influence)  :0 (u_284 / sativum  :0 u_283))))
we observed a significant positive association between influence, as expressed by higher fsam-nps di, and the condition symptom score.	cause	1	(u_285 / observe  :0 (u_286 / express  :1 (u_20 / COORD  :0 (u_287 / score  :0 (u_288 / symptom  :0 (u_9 / condition)))  :0 (u_289 / di)  :0 (u_290 / fsamHYPHENnp)  :0 (u_50 / high))  :0-of u_20)  :2 (u_193 / association  :0 (u_291 / positive)  :0 (u_220 / significant)  :1-of (u_195 / between  :2 (u_1 / influence)))  :1 (u_70 / we))
influence vegetables have been shown to have beneficial effects against several diseases, including condition.	not	0	(u_66 / show  :2 (u_114 / have  :2 (u_89 / effect  :0 (u_90 / beneficial)  :1-of (u_88 / against  :2 (u_22 / disease  :0 (u_9 / condition)  :0 (u_18 / several)))))  :2 (u_154 / vegetable  :0 (u_1 / influence)))
although influence is considered a major source of transmission, condition is often suspected when cmv disease develops after transfusion.	not	0	(u_292 / suspect  :0 (u_293 / often)  :2 (u_9 / condition)  :1-of (u_251 / when  :2 (u_54 / develop  :1 (u_22 / disease  :0 (u_294 / cmv))  :1-of (u_295 / after  :2 (u_296 / transfusion))))  :1-of (u_297 / although  :2 (u_27 / consider  :2 (u_160 / source  :0 (u_112 / major)  :1-of (u_8 / of  :2 (u_298 / transmission)))  :2 (u_1 / influence))))
influence, which has been widely used for dietary condiment, has been reported to improve condition in an animal model of alzheimer's disease (ad).	not	0	(u_299 / report  :2 (u_300 / improve  :2 (u_9 / condition)  :1-of (u_33 / in  :2 (u_301 / model  :0 (u_302 / animal)  :1-of (u_8 / of  :2 (u_22 / disease  :0 (u_303 / ad)  :2-of (u_58 / HAS  :1 (u_304 / alzheimer)))))))  :2 (u_1 / influence  :0 (u_0 / use  :0 (u_238 / widely)  :1-of (u_6 / for  :2 (u_305 / condiment  :0 (u_94 / dietary))))  :1-of u_0))
current dietary guidelines recommend that patients with condition (ckd) restrict individual nutrients, such as influence, potassium, phosphorus, and protein.	cause	1	(u_306 / recommend  :0 (u_307 / restrict  :2 (u_308 / nutrient  :0 (u_20 / COORD  :0 (u_309 / potassium)  :0 (u_310 / phosphorus)  :0 (u_203 / protein)  :0 (u_1 / influence))  :0 (u_311 / individual))  :1 (u_312 / patient  :1-of (u_15 / with  :2 (u_9 / condition  :0 (u_313 / ckd)))))  :1 (u_314 / guideline  :0 (u_94 / dietary)  :0 (u_315 / current)))
prevention of condition through the influence has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost.	not	0	(u_20 / COORD  :0 (u_316 / become  :2 (u_317 / agent  :0 (u_318 / natural)  :0 (u_319 / chemopreventive)  :0 (u_72 / potential)  :0 (u_320 / important))  :1 (u_256 / compound  :0 (u_321 / polyphenolic)  :1-of (u_19 / such  :2 (u_322 / flavanol)))  :1-of (u_323 / due  :2 (u_208 / benefit  :0 u_20  :0 (u_326 / prove)  :1-of (u_91 / on  :2 (u_17 / health))  :2-of (u_58 / HAS  :1 (u_327 / they)))))  :0 (u_328 / receive)  :2 (u_329 / interest  :0 (u_32 / increase))  :0 (u_330 / recently)  :1 (u_56 / prevention  :1-of (u_8 / of  :2 (u_9 / condition  :1-of (u_331 / through  :2 (u_1 / influence)))))  :0 (u_324 / cost)  :0 (u_325 / toxicity)  :0 (u_68 / low)  :0 (u_15 / with))
infectious condition is one of the most common diseases in the influence industry in many countries, especially in the regions with a dense influence farming industry.	not	0	(u_95 / one  :1 (u_9 / condition  :0 (u_332 / infectious))  :1-of (u_8 / of  :2 (u_22 / disease  :0 (u_98 / common  :0 (u_99 / most))  :1-of (u_33 / in  :1 (u_333 / industry  :0 (u_1 / influence))  :2 (u_334 / country  :0 (u_4 / many))))))
influence (ific) can contribute substantially in preventing condition and maintaining an adequate body iron status.	not	0	(u_335 / contribute  :0 (u_336 / substantially)  :1 (u_1 / influence  :0 (u_337 / ific))  :1-of (u_33 / in  :2 (u_20 / COORD  :0 (u_338 / maintain  :2 (u_339 / status  :0 (u_104 / iron)  :0 (u_44 / body)  :0 (u_120 / adequate)))  :0 (u_156 / prevent)  :2 (u_9 / condition))))
condition (ida) is a major global public health problem, and the influence in diet are clearly needed in the prevention and improvement of ida for humans.	not	0	(u_20 / COORD  :0 (u_340 / need  :0 (u_341 / clearly)  :2 (u_1 / influence  :1-of (u_33 / in  :2 (u_342 / diet)  :1 u_340  :2 u_20)))  :0 (u_346 / problem)  :0 (u_17 / health  :0 (u_111 / public))  :0 (u_347 / global)  :0 (u_112 / major)  :1 (u_9 / condition  :0 u_344)  :0 (u_343 / improvement)  :0 (u_56 / prevention  :1-of (u_8 / of  :2 (u_344 / ida  :1-of (u_6 / for  :2 (u_345 / human))))))
influence cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of condition.	not	0	(u_299 / report  :2 (u_20 / COORD  :0 (u_348 / promote  :2 (u_349 / metabolism))  :2 (u_352 / mass  :0 (u_173 / fat)  :0 (u_44 / body))  :0 (u_300 / improve  :2 (u_350 / complaint  :0 (u_351 / unidentified)  :1-of (u_8 / of  :2 (u_9 / condition))))  :0 (u_73 / reduce))  :2 (u_176 / cultivar  :0 (u_1 / influence)))
risk factors include male sex; condition; hypertension; alcohol intake; diuretic use; a diet rich in meat and seafood; chronic kidney disease; a diet heavy in influence; being a member of certain ethnic groups, including taiwanese, pacific islander, and new zealand maori; and living in high-income countries.	not	0	(u_145 / include  :2 (u_20 / COORD  :0 (u_342 / diet)  :0 (u_9 / condition)  :0 (u_368 / male)  :0 (u_22 / disease  :0 (u_365 / heavy  :1 u_342)  :0 (u_366 / kidney)  :0 (u_234 / chronic))  :0 (u_367 / sex)  :0 (u_353 / live  :1-of (u_33 / in  :2 (u_334 / country  :0 (u_354 / income  :0 (u_355 / highHYPHEN)))  :1 u_365  :2 (u_1 / influence)))  :0 (u_356 / member)  :0 (u_357 / islander  :0 (u_358 / pacific)  :0 (u_359 / Jaiwanese))  :0 (u_363 / ethnic)  :0 (u_364 / certain)  :0 (u_360 / maori  :0 (u_361 / zealand)  :0 (u_148 / new))  :0 (u_362 / group)  :0-of u_22  :2-of (u_8 / of))  :1 (u_25 / factor  :0 (u_26 / risk)))
allergen glb33 is an important allergen in influence that can cause condition such as asthma and atopic dermatitis.	cause	1	(u_369 / allergen  :0 (u_320 / important)  :1 (u_370 / glb33)  :0-of u_370  :1-of (u_33 / in  :2 (u_1 / influence  :0 (u_31 / cause  :2 (u_9 / condition  :1-of (u_19 / such  :2 (u_20 / COORD  :0 (u_371 / dermatitis  :0 (u_372 / atopic))  :0 (u_373 / asthma)))))  :1-of u_31)))
out of the 314 subjects tested, 22 (7%) had a condition against influence (influence rhinitis and/or influence asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of influence allergy.	cause	1	(u_114 / have  :2 (u_20 / COORD  :0 (u_22 / disease  :0 (u_372 / atopic)  :0 (u_374 / preexistent)  :0 (u_375 / X21)  :1-of (u_376 / without  :2 (u_288 / symptom  :0 (u_377 / actual)  :1-of (u_8 / of  :2 (u_378 / allergy  :0 u_1)))))  :0 (u_9 / condition)  :0 (u_373 / asthma  :0 u_1)  :0 (u_379 / rhinitis)  :0 (u_1 / influence  :0 u_20)  :1-of (u_88 / against  :2 u_1))  :1 (u_380 / X22)  :1-of (u_381 / out  :2 (u_382 / subject  :0 (u_383 / test)  :0 (u_384 / X314)  :0 u_8)))
for decades, occupational exposure to influence has been linked to a range of condition, including occupational asthma, thought to result from exposure to fungi present in the flour.	cause	1	(u_161 / link  :2 (u_385 / exposure  :0 (u_386 / occupational)  :1-of (u_40 / to  :2 (u_1 / influence)  :1 u_161  :2 (u_387 / range  :0 (u_373 / asthma  :0 (u_388 / think  :2 (u_260 / result  :1-of (u_184 / from  :2 u_385)))  :0 u_386)  :1-of (u_8 / of  :2 (u_9 / condition)))  :2 (u_389 / fungi  :0 (u_390 / present  :1-of (u_33 / in  :2 (u_391 / flour))))))  :1-of (u_6 / for  :2 (u_392 / decade)))
in 35 flocks comprising almost 100,000 white plymouth rock birds producing hatching influence, condition (ib) caused a decline in production which appeared to be connected with the age of the birds, when the outbreak started (table i).	not	0	(u_31 / cause  :2 (u_393 / decline  :1-of (u_33 / in  :2 (u_394 / production  :0 (u_395 / appear  :2 (u_396 / connect  :0 (u_397 / start  :2 (u_398 / table  :0 (u_399 / i))  :1 (u_400 / outbreak))  :1-of (u_15 / with  :2 (u_401 / age  :1-of (u_8 / of  :2 (u_402 / bird  :0 (u_404 / produce  :2 (u_1 / influence  :0 (u_405 / hatch)))  :0 (u_406 / rock)  :0 (u_407 / plymouth)  :0 (u_408 / white)  :0 (u_409 / X100000  :0 (u_410 / almost))))))))  :1-of u_395)  :1 u_31  :2 (u_52 / flock  :0 (u_403 / comprise  :2 u_402)  :0 (u_411 / X35))))  :1 (u_9 / condition))
because magonlia flos was described as an aromatic material in ancient chinese texts, we hypothesized that its influence may be used to treat condition.	not	0	(u_412 / hypothesize  :0 (u_0 / use  :2 (u_126 / treat  :2 (u_9 / condition))  :2 (u_1 / influence  :2-of (u_58 / HAS  :1 (u_59 / its))))  :1 (u_70 / we)  :1-of (u_413 / because  :2 (u_414 / describe  :2 (u_415 / flo  :0 (u_416 / magonlia))  :1-of (u_10 / as  :2 (u_417 / material  :0 (u_418 / aromatic)  :1-of (u_33 / in  :2 (u_419 / text  :0 (u_420 / Chinese)  :0 (u_421 / ancient))))))))
the influence (md) affects the risk of condition and long-term prognosis after a coronary event.	cause	1	(u_115 / affect  :2 (u_26 / risk  :0 (u_20 / COORD  :0 (u_422 / longHYPHENterm)  :0 (u_9 / condition))  :1-of (u_8 / of  :2 (u_423 / prognosis)))  :1 (u_1 / influence  :0 (u_424 / md))  :1-of (u_295 / after  :2 (u_425 / event  :0 (u_166 / coronary))))
the influence are traditionally used in turkey for the treatment of condition.	not	0	(u_0 / use  :0 (u_175 / traditionally)  :2 (u_1 / influence)  :1-of (u_6 / for  :2 (u_7 / treatment  :1-of (u_8 / of  :2 (u_9 / condition))))  :1-of (u_33 / in  :2 (u_426 / turkey)))
epidemeological as well as laboratory studies have shown that influence reduces certain condition incidences in the stomach, colon, mammary, cervical, etc.	not	0	(u_66 / show  :0 (u_73 / reduce  :2 (u_427 / incidence  :0 (u_9 / condition)  :0 (u_364 / certain))  :1 (u_1 / influence)  :1-of (u_33 / in  :2 u_20))  :1 (u_20 / COORD  :0 (u_428 / colon)  :0 (u_429 / mammary)  :0 (u_430 / cervical)  :0 (u_431 / stomach)  :0 (u_64 / study  :0 (u_432 / laboratory))  :0 (u_433 / epidemeological)))
however, milk is a food of high nutritional value, and complete exclusion of influence may favor the development of condition such as osteopenia and osteoporosis.	not	0	(u_20 / COORD  :0 (u_434 / favor  :2 (u_230 / development  :1-of (u_8 / of  :2 (u_9 / condition  :1-of (u_19 / such  :2 u_20))  :1 u_436  :2 (u_1 / influence)  :1 u_20  :2 (u_440 / value  :0 (u_214 / nutritional)  :0 (u_50 / high))))  :1 (u_436 / exclusion  :0 (u_437 / complete)))  :0 (u_62 / food)  :1 (u_438 / milk)  :0 (u_439 / however)  :0 (u_206 / osteoporosis)  :0 (u_435 / osteopenia))
however, liquid upf and influence were associated with increased rate of condition (irr: 1.32; 95%ci:1.10,1.65; irr: 1.17; 95%ci:1.01,1.36; respectively).	cause	1	(u_13 / associate  :2 (u_20 / COORD  :0 (u_1 / influence)  :0 (u_441 / upf)  :0 (u_442 / liquid)  :0 (u_444 / irr))  :0 (u_439 / however)  :1-of (u_15 / with  :2 (u_443 / rate  :0 u_20  :0 (u_32 / increase)  :1-of (u_8 / of  :2 (u_9 / condition)))))
