text	label	label_id	graph
there is evidence that adequate amounts of influence acid supply to women before and during early pregnancy decreases the risk of having a condition affected child.	not	0	(u_2 / be  :expl (u_1 / there)  :nsubj (u_3 / evidence)  :conj (u_18 / decrease  :mark (u_4 / that)  :nsubj (u_6 / amount  :amod (u_5 / adequate)  :nmod (u_10 / supply  :case (u_7 / of)  :compound (u_8 / influence)  :compound (u_9 / acid)  :nmod (u_12 / woman  :case (u_11 / to))  :advmod (u_13 / before))  :nmod (u_17 / pregnancy  :cc (u_14 / and)  :case (u_15 / during)  :amod (u_16 / early)))  :obj (u_20 / risk  :det (u_19 / the)  :acl (u_22 / have  :mark (u_21 / of)  :obj (u_24 / condition  :det (u_23 / a))  :obj (u_26 / child  :amod (u_25 / affect)))))  :punct (u_27 / PERIOD)  :root-of (u_0 / root))
influence has been known as a traditional medicinal plant to treat condition, sinus infection, and suppurative disease.	not	0	(u_4 / know  :nsubjCOLONpass (u_1 / influence)  :aux (u_2 / have)  :auxCOLONpass (u_3 / be)  :obl (u_9 / plant  :case (u_5 / as)  :det (u_6 / a)  :amod (u_7 / traditional)  :amod (u_8 / medicinal))  :advcl (u_11 / treat  :mark (u_10 / to)  :obj (u_12 / condition  :conj (u_15 / infection  :punct (u_13 / COMMA)  :compound (u_14 / sinus))  :conj (u_19 / disease  :punct (u_16 / COMMA)  :cc (u_17 / and)  :amod (u_18 / suppurative))))  :punct (u_20 / PERIOD)  :root-of (u_0 / root))
while many egg and influence-condition children tolerate baked egg (be) and influence (bm), reactions elicited by these oral food challenges (ofcs) can be severe.	not	0	(u_7 / tolerate  :mark (u_1 / while)  :nsubj (u_3 / egg  :amod (u_2 / many)  :conj (u_6 / child  :cc (u_4 / and)  :amod (u_5 / influenceHYPHENcondition)))  :obj (u_9 / egg  :amod (u_8 / bake)  :conj (u_14 / influence  :cc (u_13 / and)  :appos (u_16 / bm  :punct (u_15 / LRB)  :punct (u_17 / RRB))))  :parataxis (u_11 / be  :punct (u_10 / LRB)  :punct (u_12 / RRB))  :advcl-of (u_31 / severe  :nsubj (u_19 / reaction  :punct (u_18 / COMMA)  :acl (u_20 / elicite  :obl (u_25 / challenge  :case (u_21 / by)  :det (u_22 / this)  :amod (u_23 / oral)  :compound (u_24 / food)  :appos (u_27 / ofc  :punct (u_26 / LRB)  :punct (u_28 / RRB)))))  :aux (u_29 / can)  :cop (u_30 / be)  :punct (u_32 / PERIOD)  :root-of (u_0 / root)))
influence is associated with various diseases including condition and cancer.	cause	1	(u_3 / associate  :nsubjCOLONpass (u_1 / influence)  :auxCOLONpass (u_2 / be)  :obl (u_6 / disease  :case (u_4 / with)  :amod (u_5 / various)  :nmod (u_8 / condition  :case (u_7 / include)  :conj (u_10 / cancer  :cc (u_9 / and))))  :punct (u_11 / PERIOD)  :root-of (u_0 / root))
having at least three servings of vegetables and two servings of influence a day could help prevent condition in older adults, new research suggests.	not	0	(u_1 / have  :obj (u_5 / serving  :nummod (u_4 / three  :nmod (u_3 / least  :case (u_2 / at)))  :nmod (u_7 / vegetable  :case (u_6 / of))  :conj (u_10 / serving  :cc (u_8 / and)  :nummod (u_9 / two)  :nmod (u_12 / influence  :case (u_11 / of))))  :csubj-of (u_16 / help  :nsubj (u_14 / day  :det (u_13 / a))  :aux (u_15 / could)  :xcomp (u_17 / prevent  :obj (u_18 / condition)  :obl (u_21 / adult  :case (u_19 / in)  :amod (u_20 / old)))  :ccomp-of (u_25 / suggest  :punct (u_22 / COMMA)  :nsubj (u_24 / research  :amod (u_23 / new))  :punct (u_26 / PERIOD)  :root-of (u_0 / root))))
influence and dairy products containing influence fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as condition (cvd), coronary heart disease (chd), and stroke.	cause	1	(u_1 / influence  :conj (u_4 / product  :compound (u_3 / dairy  :cc (u_2 / and))  :acl (u_5 / contain  :obj (u_7 / fat  :compound (u_6 / influence))))  :nsubj-of (u_8 / be  :nsubj (u_11 / source  :amod (u_9 / major)  :compound (u_10 / food)  :nmod (u_15 / acid  :case (u_12 / of)  :amod (u_13 / saturate)  :compound (u_14 / fatty)  :punct (u_16 / COMMA)  :aclCOLONrelcl (u_20 / link  :nsubjCOLONpass (u_17 / which)  :aux (u_18 / have)  :auxCOLONpass (u_19 / be)  :obl (u_23 / risk  :case (u_21 / to)  :amod (u_22 / increase)  :nmod (u_27 / outcome  :case (u_24 / of)  :amod (u_25 / cardiovascularHYPHENrelated)  :amod (u_26 / clinical)  :nmod (u_30 / condition  :case (u_28 / such  :fixed (u_29 / as))  :appos (u_32 / cvd  :punct (u_31 / LRB)  :punct (u_33 / RRB))  :conj (u_37 / disease  :punct (u_34 / COMMA)  :amod (u_35 / coronary)  :compound (u_36 / heart)  :appos (u_39 / chd  :punct (u_38 / LRB)  :punct (u_40 / RRB)))  :conj (u_43 / stroke  :punct (u_41 / COMMA)  :cc (u_42 / and))))))))  :punct (u_44 / PERIOD)  :root-of (u_0 / root)))
over one thousand cultivars of influence (punicaceae) are known and some are traditionally used to treat various condition.	not	0	(u_3 / thousand  :advmod (u_1 / over)  :compound (u_2 / one)  :nummod-of (u_4 / cultivar  :nmod (u_6 / influence  :case (u_5 / of)  :appos (u_8 / punicaceae  :punct (u_7 / LRB)  :punct (u_9 / RRB)))  :nsubjCOLONpass-of (u_11 / know  :auxCOLONpass (u_10 / be)  :conj (u_16 / use  :cc (u_12 / and)  :nsubjCOLONpass (u_13 / some)  :auxCOLONpass (u_14 / be)  :advmod (u_15 / traditionally)  :xcomp (u_18 / treat  :mark (u_17 / to)  :obj (u_20 / condition  :amod (u_19 / various))))  :punct (u_21 / PERIOD)  :root-of (u_0 / root))))
further, waste products from tropical fruits including mangosteen rind, influence pulp and spent influence grounds provide further options to reduce condition.	not	0	(u_18 / provide  :advmod (u_1 / further)  :punct (u_2 / COMMA)  :nsubj (u_4 / product  :compound (u_3 / waste)  :nmod (u_7 / fruit  :case (u_5 / from)  :amod (u_6 / tropical)  :nmod (u_10 / rind  :case (u_8 / include)  :compound (u_9 / mangosteen)  :conj (u_13 / pulp  :punct (u_11 / COMMA)  :compound (u_12 / influence))  :conj (u_17 / grounds  :cc (u_14 / and)  :amod (u_15 / spend)  :compound (u_16 / influence)))))  :obj (u_20 / option  :amod (u_19 / further)  :acl (u_22 / reduce  :mark (u_21 / to)  :obj (u_23 / condition)))  :punct (u_24 / PERIOD)  :root-of (u_0 / root))
influence and vegetable consumption was inversely related with condition in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of condition.	not	0	(u_1 / influence  :conj (u_3 / vegetable  :cc (u_2 / and))  :nsubj-of (u_7 / related  :nsubj (u_4 / consumption)  :cop (u_5 / be)  :advmod (u_6 / inversely)  :obl (u_9 / condition  :case (u_8 / with)  :nmod (u_12 / study  :case (u_10 / in)  :amod (u_11 / many)))  :conj (u_19 / emerge  :punct (u_13 / COMMA)  :cc (u_14 / but)  :nsubj (u_17 / association  :det (u_15 / no)  :amod (u_16 / consistent))  :aux (u_18 / have)  :obl (u_21 / intake  :case (u_20 / between)  :nmod (u_24 / micronutrient  :case (u_22 / of)  :amod (u_23 / related)  :conj (u_27 / risk  :cc (u_25 / and)  :amod (u_26 / reduce)  :nmod (u_29 / condition  :case (u_28 / of))))))  :punct (u_30 / PERIOD)  :root-of (u_0 / root)))
influence is commonly used in algeria for treatment of condition and osteoporosis, it ranks first in terms of vegetal proteins.	not	0	(u_4 / use  :nsubjCOLONpass (u_1 / influence)  :auxCOLONpass (u_2 / be)  :advmod (u_3 / commonly)  :obl (u_6 / algeria  :case (u_5 / in))  :obl (u_8 / treatment  :case (u_7 / for)  :nmod (u_10 / condition  :case (u_9 / of)  :conj (u_12 / osteoporosis  :cc (u_11 / and))))  :parataxis (u_15 / rank  :punct (u_13 / COMMA)  :nsubj (u_14 / it)  :advmod (u_16 / first)  :obl (u_18 / term  :case (u_17 / in)  :nmod (u_21 / protein  :case (u_19 / of)  :amod (u_20 / vegetal))))  :punct (u_22 / PERIOD)  :root-of (u_0 / root))
nutritional supplementation with influence or -3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for condition.	not	0	(u_2 / supplementation  :amod (u_1 / nutritional)  :nmod (u_4 / influence  :case (u_3 / with)  :conj (u_7 / X3  :case (u_6 / HYPHEN)))  :nmod (u_14 / acid  :cc (u_5 / or)  :compound (u_9 / nHYPHEN  :punct (u_8 / LRB)  :nummod (u_10 / X3)  :punct (u_11 / RRB))  :amod (u_12 / polyunsaturate)  :compound (u_13 / fatty)  :appos (u_16 / pufa  :punct (u_15 / LRB)  :punct (u_17 / RRB)))  :nsubj-of (u_18 / have  :obj (u_20 / benefit  :amod (u_19 / potential)  :nmod (u_22 / condition  :case (u_21 / for)))  :punct (u_23 / PERIOD)  :root-of (u_0 / root)))
influence and influence products prevent the condition in pre- and postmenopausal women.	not	0	(u_1 / influence  :conj (u_4 / product  :cc (u_2 / and)  :compound (u_3 / influence))  :nsubj-of (u_5 / prevent  :obj (u_7 / condition  :det (u_6 / the)  :nmod (u_12 / woman  :case (u_8 / in)  :amod (u_9 / preHYPHEN  :conj (u_11 / postmenopausal  :cc (u_10 / and)))))  :punct (u_13 / PERIOD)  :root-of (u_0 / root)))
three recent meta-analyses found significant prospective inverse associations between influence intake and condition risk.	not	0	(u_3 / metaHYPHENanalyse  :nummod (u_1 / three)  :amod (u_2 / recent)  :nsubj-of (u_4 / find  :obj (u_8 / association  :amod (u_5 / significant)  :amod (u_6 / prospective)  :amod (u_7 / inverse)  :nmod (u_11 / intake  :case (u_9 / between)  :compound (u_10 / influence)  :conj (u_14 / risk  :cc (u_12 / and)  :compound (u_13 / condition))))  :punct (u_15 / PERIOD)  :root-of (u_0 / root)))
since influence has been related to the development of chronic condition prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years.	not	0	(u_5 / relate  :mark (u_1 / since)  :nsubjCOLONpass (u_2 / influence)  :aux (u_3 / have)  :auxCOLONpass (u_4 / be)  :obl (u_8 / development  :case (u_6 / to)  :det (u_7 / the)  :nmod (u_11 / condition  :case (u_9 / of)  :amod (u_10 / chronic)  :amod (u_12 / prevalent  :obl (u_16 / world  :case (u_13 / in)  :det (u_14 / the)  :amod (u_15 / western)))))  :advcl-of (u_24 / increase  :punct (u_17 / COMMA)  :nsubj (u_19 / use  :det (u_18 / the)  :nmod (u_21 / sweetener  :case (u_20 / of)))  :aux (u_22 / have)  :advmod (u_23 / gradually)  :advmod (u_25 / worldwide)  :obl (u_30 / year  :case (u_26 / over)  :det (u_27 / the)  :amod (u_28 / last)  :amod (u_29 / few))  :punct (u_31 / PERIOD)  :root-of (u_0 / root)))
moreover, substantial experimental studies have supported the protective role of fruits against condition, and several fruits (grape, influence, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action.	not	0	(u_7 / support  :advmod (u_1 / moreover)  :punct (u_2 / COMMA)  :nsubj (u_5 / study  :amod (u_3 / substantial)  :amod (u_4 / experimental))  :aux (u_6 / have)  :obj (u_10 / role  :det (u_8 / the)  :amod (u_9 / protective)  :nmod (u_12 / fruit  :case (u_11 / of)  :nmod (u_14 / condition  :case (u_13 / against))))  :conj (u_36 / study  :punct (u_15 / COMMA)  :cc (u_16 / and)  :nsubjCOLONpass (u_18 / fruit  :amod (u_17 / several)  :appos (u_20 / grape  :punct (u_19 / LRB)  :conj (u_22 / influence  :punct (u_21 / COMMA))  :conj (u_24 / pomegranate  :punct (u_23 / COMMA))  :conj (u_26 / apple  :punct (u_25 / COMMA))  :conj (u_28 / hawthorn  :punct (u_27 / COMMA))  :conj (u_31 / avocado  :punct (u_29 / COMMA)  :cc (u_30 / and))  :punct (u_32 / RRB)))  :aux (u_33 / have)  :auxCOLONpass (u_34 / be)  :advmod (u_35 / widely)  :conj (u_39 / show  :cc (u_37 / and)  :aux (u_38 / have)  :obj (u_43 / action  :amod (u_40 / potent)  :amod (u_41 / cardiovascular)  :amod (u_42 / protective))))  :punct (u_44 / PERIOD)  :root-of (u_0 / root))
the results of the i. condition infusions made at 65c and at 75 c show that there was no significant difference between both temperatures when preparing the influence in relation to the presence of al, methylxanthines, phenolic compounds and flavonoids.	not	0	(u_2 / result  :det (u_1 / the)  :nmod (u_7 / infusion  :case (u_3 / of)  :det (u_4 / the)  :compound (u_6 / condition  :compound (u_5 / iPERIOD))  :acl (u_8 / make  :obl (u_11 / c  :case (u_9 / at)  :nummod (u_10 / X65))))  :conj (u_15 / c  :cc (u_12 / and)  :case (u_13 / at)  :nummod (u_14 / X75))  :nsubj-of (u_16 / show  :ccomp (u_19 / be  :mark (u_17 / that)  :expl (u_18 / there)  :nsubj (u_22 / difference  :det (u_20 / no)  :amod (u_21 / significant)  :nmod (u_25 / temperature  :case (u_23 / between)  :det (u_24 / both)))  :advcl (u_27 / prepare  :mark (u_26 / when)  :obj (u_29 / influence  :det (u_28 / the)  :nmod (u_31 / relation  :case (u_30 / in)  :nmod (u_34 / presence  :case (u_32 / to)  :det (u_33 / the)  :nmod (u_36 / al  :case (u_35 / of)  :conj (u_38 / methylxanthine  :punct (u_37 / COMMA))  :conj (u_41 / compound  :punct (u_39 / COMMA)  :compound (u_40 / phenolic))  :conj (u_43 / flavonoid  :cc (u_42 / and))))))))  :punct (u_44 / PERIOD)  :root-of (u_0 / root)))
in the condition, data revealed that several influence, water consumption, protein excretion, wbcs levels, tgs, bun levels, and the absolute and relative weights in the liver, spleen and lungs.	not	0	(u_3 / condition  :case (u_1 / in)  :det (u_2 / the)  :punct (u_4 / COMMA)  :obl-of (u_6 / reveal  :nsubj (u_5 / datum)  :obj (u_9 / influence  :mark (u_7 / that)  :amod (u_8 / several)  :conj (u_12 / consumption  :punct (u_10 / COMMA)  :compound (u_11 / water))  :conj (u_15 / excretion  :punct (u_13 / COMMA)  :compound (u_14 / protein))  :conj (u_18 / level  :punct (u_16 / COMMA)  :compound (u_17 / wbc))  :conj (u_20 / tgs  :punct (u_19 / COMMA))  :conj (u_23 / level  :punct (u_21 / COMMA)  :compound (u_22 / bun))  :conj (u_30 / weight  :punct (u_24 / COMMA)  :cc (u_25 / and)  :det (u_26 / the)  :amod (u_27 / absolute  :conj (u_29 / relative  :cc (u_28 / and)))  :nmod (u_33 / liver  :case (u_31 / in)  :det (u_32 / the)  :conj (u_35 / spleen  :punct (u_34 / COMMA))  :conj (u_37 / lung  :cc (u_36 / and)))))  :punct (u_38 / PERIOD)  :root-of (u_0 / root)))
, including influence (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in condition in dogs.	cause	1	(u_16 / know  :punct (u_1 / COMMA)  :obl (u_3 / influence  :case (u_2 / include)  :appos (u_6 / sativum  :punct (u_4 / LRB)  :compound (u_5 / aPERIOD)  :punct (u_7 / RRB))  :conj (u_9 / onion  :cc (u_8 / and)  :appos (u_12 / cepa  :punct (u_10 / LRB)  :amod (u_11 / aPERIOD)  :punct (u_13 / RRB))))  :punct (u_14 / COMMA)  :auxCOLONpass (u_15 / be)  :xcomp (u_20 / toxic  :mark (u_17 / to)  :cop (u_18 / be)  :advmod (u_19 / oxidatively)  :obl (u_23 / erythrocyte  :case (u_21 / to)  :amod (u_22 / canine)  :acl (u_24 / result  :obl (u_26 / condition  :case (u_25 / in))  :obl (u_28 / dog  :case (u_27 / in)))))  :punct (u_29 / PERIOD)  :root-of (u_0 / root))
we observed a significant positive association between influence, as expressed by higher fsam-nps di, and the condition symptom score.	cause	1	(u_2 / observe  :nsubj (u_1 / we)  :obj (u_6 / association  :det (u_3 / a)  :amod (u_4 / significant)  :amod (u_5 / positive)  :nmod (u_8 / influence  :case (u_7 / between)))  :advcl (u_11 / express  :punct (u_9 / COMMA)  :mark (u_10 / as)  :obl (u_15 / di  :case (u_12 / by)  :amod (u_13 / high)  :compound (u_14 / fsamHYPHENnp)  :conj (u_21 / score  :punct (u_16 / COMMA)  :cc (u_17 / and)  :det (u_18 / the)  :compound (u_20 / symptom  :compound (u_19 / condition)))))  :punct (u_22 / PERIOD)  :root-of (u_0 / root))
influence vegetables have been shown to have beneficial effects against several diseases, including condition.	not	0	(u_2 / vegetable  :compound (u_1 / influence)  :nsubjCOLONpass-of (u_5 / show  :aux (u_3 / have)  :auxCOLONpass (u_4 / be)  :xcomp (u_7 / have  :mark (u_6 / to)  :obj (u_9 / effect  :amod (u_8 / beneficial)  :nmod (u_12 / disease  :case (u_10 / against)  :amod (u_11 / several)  :nmod (u_15 / condition  :punct (u_13 / COMMA)  :case (u_14 / include)))))  :punct (u_16 / PERIOD)  :root-of (u_0 / root)))
although influence is considered a major source of transmission, condition is often suspected when cmv disease develops after transfusion.	not	0	(u_4 / consider  :mark (u_1 / although)  :nsubjCOLONpass (u_2 / influence)  :auxCOLONpass (u_3 / be)  :obj (u_7 / source  :det (u_5 / a)  :amod (u_6 / major)  :nmod (u_9 / transmission  :case (u_8 / of)))  :advcl-of (u_14 / suspect  :punct (u_10 / COMMA)  :nsubjCOLONpass (u_11 / condition)  :auxCOLONpass (u_12 / be)  :advmod (u_13 / often)  :advcl (u_18 / develop  :mark (u_15 / when)  :nsubj (u_17 / disease  :compound (u_16 / cmv))  :obl (u_20 / transfusion  :case (u_19 / after)))  :punct (u_21 / PERIOD)  :root-of (u_0 / root)))
influence, which has been widely used for dietary condiment, has been reported to improve condition in an animal model of alzheimer's disease (ad).	not	0	(u_1 / influence  :punct (u_2 / COMMA)  :aclCOLONrelcl (u_7 / use  :nsubjCOLONpass (u_3 / which)  :aux (u_4 / have)  :auxCOLONpass (u_5 / be)  :advmod (u_6 / widely)  :obl (u_10 / condiment  :case (u_8 / for)  :compound (u_9 / dietary)))  :nsubjCOLONpass-of (u_14 / report  :punct (u_11 / COMMA)  :aux (u_12 / have)  :auxCOLONpass (u_13 / be)  :xcomp (u_16 / improve  :mark (u_15 / to)  :obj (u_17 / condition)  :obl (u_21 / model  :case (u_18 / in)  :det (u_19 / a)  :compound (u_20 / animal)  :nmod (u_25 / disease  :case (u_22 / of)  :nmodCOLONposs (u_23 / alzheimer  :case (u_24 / QUOTEs))  :appos (u_27 / ad  :punct (u_26 / LRB)  :punct (u_28 / RRB)))))  :punct (u_29 / PERIOD)  :root-of (u_0 / root)))
current dietary guidelines recommend that patients with condition (ckd) restrict individual nutrients, such as influence, potassium, phosphorus, and protein.	cause	1	(u_3 / guideline  :amod (u_1 / current)  :compound (u_2 / dietary)  :nsubj-of (u_4 / recommend  :ccomp (u_12 / restrict  :mark (u_5 / that)  :nsubj (u_6 / patient  :nmod (u_8 / condition  :case (u_7 / with)  :appos (u_10 / ckd  :punct (u_9 / LRB)  :punct (u_11 / RRB))))  :obj (u_14 / nutrient  :amod (u_13 / individual)  :nmod (u_18 / influence  :punct (u_15 / COMMA)  :case (u_16 / such  :fixed (u_17 / as))  :conj (u_20 / potassium  :punct (u_19 / COMMA))  :conj (u_22 / phosphorus  :punct (u_21 / COMMA))  :conj (u_25 / protein  :punct (u_23 / COMMA)  :cc (u_24 / and)))))  :punct (u_26 / PERIOD)  :root-of (u_0 / root)))
prevention of condition through the influence has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost.	not	0	(u_1 / prevention  :nmod (u_3 / condition  :case (u_2 / of)  :nmod (u_6 / influence  :case (u_4 / through)  :det (u_5 / the)))  :nsubj-of (u_9 / receive  :aux (u_7 / have)  :advmod (u_8 / recently)  :obj (u_12 / interest  :det (u_10 / a)  :amod (u_11 / increase))  :conj (u_23 / become  :punct (u_13 / COMMA)  :cc (u_14 / and)  :nsubj (u_16 / compound  :amod (u_15 / polyphenolic)  :punct (u_17 / COMMA)  :nmod (u_20 / flavanol  :case (u_18 / such  :fixed (u_19 / as))))  :punct (u_21 / COMMA)  :aux (u_22 / have)  :xcomp (u_28 / agent  :amod (u_24 / important)  :amod (u_25 / potential)  :amod (u_26 / chemopreventive)  :amod (u_27 / natural))  :obl (u_33 / benefit  :case (u_29 / due  :fixed (u_30 / to))  :nmodCOLONposs (u_31 / they)  :amod (u_32 / prove)  :nmod (u_35 / health  :case (u_34 / on))  :nmod (u_39 / toxicity  :punct (u_36 / COMMA)  :case (u_37 / with)  :amod (u_38 / low)  :conj (u_41 / cost  :cc (u_40 / and)))))  :punct (u_42 / PERIOD)  :root-of (u_0 / root)))
