term1;term2;sentence;is_cause;is_treat;source;prp_sent;sdp;sdp_joined
garlic;colon neoplastic lesions;diallyl disulfide (dads) is a major organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour cell growth in vitro.;0;1;FoodDisease;diallyl disulfide (dads) is a major organosulphur compound present in term1 with an anti-mitotic potential against term2 in vivo and colon tumour cell growth in vitro.;['term1', 'in', 'potential', 'against', 'term2'];term1 in potential against term2
salt;ad;diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of ad and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality.;1;0;FoodDisease;diets characterized by high intakes of refined sugars, term1, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of term2 and can perturb the circterm2ian modulation of cortisol secretion, which is associated with poor sleep quality.;['term1', 'sugar', 'of', 'term2'];term1 sugar of term2
green tea;neurodegenerative disease;natural antioxidants from food sources and natural products such as resveratrol, curcumin, green tea polyphenols, and vitamin e are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse effects, more tolerable, cheaper, and sustainable for long term consumption.;0;1;FoodDisease;natural antioxidants from food sources and natural products such as resveratrol, curcumin, term1 polyphenols, and vitamin e are promising therapeutic agents in oxidative stress-mediated term2 as they have fewer adverse effects, more tolerable, cheaper, and sustainable for long term consumption.;['term1', 'polyphenol', ',', 'effect', 'have', 'promise', 'in', 'term2'];term1 polyphenol , effect have promise in term2
oncorhynchus tshawytscha;heart and skeletal muscle inflammation;prv-1 causes heart and skeletal muscle inflammation (hsmi) in atlantic salmon (salmo salar) and is associated with jaundice syndrome in farmed chinook salmon (oncorhynchus tshawytscha).;0;0;FoodDisease;prv-1 causes term2 (hsmi) in atlantic salmon (salmo salar) and is associated with jaundice syndrome in farmed chinook salmon (term1).;['term1', 'salmon', '(', 'term2'];term1 salmon ( term2
sage;diabetic;salvia officinalis l. (sage) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-diabetic effects.;0;1;FoodDisease;salvia officinalis l. (term1) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-term2 effects.;['term1', 'l.', 'be', 'plant', 'a', 'range', 'of', 'activity', 'include', 'effect', 'term2'];term1 l. be plant a range of activity include effect term2
iron fortifiers in diets;iron-deficiency anemia;iron-deficiency anemia is an important health problem in global public issues, and development of iron fortifiers in diets is essential for the decrease of iron deficiency.;0;1;FoodDisease;term2 is an important health problem in global public issues, and development of term1 is essential for the decrease of iron deficiency.;['term1', 'of', 'development', 'be', 'term2'];term1 of development be term2
spirulina platensis extracts;cancer;spirulina platensis extracts have exhibited considerable anti-cancer effects.;0;1;FoodDisease;term1 have exhibited considerable anti-term2 effects.;['term1', 'exhibit', 'effect', 'term2'];term1 exhibit effect term2
extra-virgin olive oil;malignancies;epidemiological studies have compellingly documented the ability of the mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow the alzheimer's disease progression.;0;1;FoodDisease;epidemiological studies have compellingly documented the ability of the mediterranean diet rich in term1 to reduce the incidence of certain term2, and cardiovascular diseases, and slow the alzheimer's disease progression.;['term1', 'in', 'rich', 'diet', 'of', 'term2'];term1 in rich diet of term2
alcohol;dementia;evidence suggests that consuming light-to-moderate amounts of alcohol reduces the risk of dementia and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy alcohol.;0;1;FoodDisease;evidence suggests that consuming light-to-moderate amounts of term1 reduces the risk of term2 and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy term1.;['term1', 'of', 'term2'];term1 of term2
phenolic acids;alzheimer's disease;numerous authors have provided evidence regarding the beneficial effects of phenolic acids and their derivatives against alzheimer's disease (ad).;0;1;FoodDisease;numerous authors have provided evidence regarding the beneficial effects of term1 and their derivatives against term2 (ad).;['term1', 'of', 'effect', 'derivative', 'against', 'term2'];term1 of effect derivative against term2
ultra-processed foods;noncommunicable chronic diseases;processed and ultra-processed foods (upf) consumption has been associated with development of noncommunicable chronic diseases (ncd).;1;0;FoodDisease;processed and term1 (upf) consumption has been associated with development of term2 (ncd).;['term1', 'process', 'associate', 'consumption', '(', 'term2'];term1 process associate consumption ( term2
water;stones;no correlation was found between the occurrence of stones and a positive test for elisa ibv (infectious bronchitis virus), or between the number of stones and calcium concentration in water and food, indicating that ibv infection and calcium in the diet were not related to stones formation.;0;0;FoodDisease;no correlation was found between the occurrence of term2 and a positive test for elisa ibv (infectious bronchitis virus), or between the number of term2 and calcium concentration in term1 and food, indicating that ibv infection and calcium in the diet were not related to term2 formation.;['term1', 'and', 'term2'];term1 and term2
chicken;infectious bronchitis;infectious bronchitis (ib) affects chicken of all ages and poses major economic loses to the poultry industry worldwide.;0;0;FoodDisease;term2 (ib) affects term1 of all ages and poses major economic loses to the poultry industry worldwide.;['term1', 'affect', 'term2'];term1 affect term2
labiatae;cardiovascular diseases;use of labiatae as food or food additives (such as spices) may prevent risk of cardiovascular diseases, diabetes and cancer.;0;1;FoodDisease;use of term1 as food or food additives (such as spices) may prevent risk of term2, diabetes and cancer.;['term1', 'of', 'term2'];term1 of term2
meat;coronary heart disease;regular intake of foods rich in saturated fats, such as meat and certain dairy products, raises the risk of coronary heart disease, especially in smokers.;1;0;FoodDisease;regular intake of foods rich in saturated fats, such as term1 and certain dairy products, raises the risk of term2, especially in smokers.;['term1', 'as', 'fat', 'in', 'risk', 'of', 'term2'];term1 as fat in risk of term2
milk;respiratory complications;it is suggested that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications.;1;0;FoodDisease;it is suggested that recurrent inhalation of term1 and food, consequent upon disordered oesophageal motility, is the major factor causing these term2.;['term1', ',', 'be', 'factor', 'cause', 'term2'];term1 , be factor cause term2
docosahexaenoic acid;alzheimer's disease;docosahexaenoic acid (dha) is a fatty acid abundant in the brain, and is reported to have protective effects against alzheimer's disease, although the mechanistic effects of dha against alzheimer's pathophysiology remain unclear.;0;1;FoodDisease;term1 (dha) is a fatty acid abundant in the brain, and is reported to have protective effects against term2, although the mechanistic effects of dha against alzheimer's pathophysiology remain unclear.;['term1', 'dha', 'of', 'effect', 'against', 'term2'];term1 dha of effect against term2
artichoke;cardiovascular, hepatic and gastric diseases;cynara scolymus l. (common artichoke) and its products have been considered as potential phytotherapeutic agents for various conditions, such as cardiovascular, hepatic and gastric diseases, among others.;0;1;FoodDisease;cynara scolymus l. (common term1) and its products have been considered as potential phytotherapeutic agents for various conditions, such as term2, among others.;['term1', 'l.', 'consider', 'as', 'term2'];term1 l. consider as term2
milk consumption;osteoporosis;milk consumption is an accepted strategy in building peak bone mass and therefore may reduce the risk of osteoporosis.;0;1;FoodDisease;term1 is an accepted strategy in building peak bone mass and therefore may reduce the risk of term2.;['term1', 'be', 'reduce', 'risk', 'of', 'term2'];term1 be reduce risk of term2
chickens;bacterial infections;the present study is the first demonstration of an association of the genetic serum mannan-binding lectin (mbl) concentration with bacterial infections in chickens.;0;0;FoodDisease;the present study is the first demonstration of an association of the genetic serum mannan-binding lectin (mbl) concentration with term2 in term1.;['term1', 'in', 'demonstration', 'of', 'concentration', 'with', 'term2'];term1 in demonstration of concentration with term2
olive oil;cardiovascular disease;a mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the underlying mechanisms are incompletely understood.;0;1;FoodDisease;a mediterranean diet supplemented with term1 and nuts prevents term2 in clinical studies, but the underlying mechanisms are incompletely understood.;['term1', 'with', 'supplement', 'prevent', 'term2'];term1 with supplement prevent term2
egg consumption;diabetes;the association between egg consumption and diabetes is inconclusive.;0;0;FoodDisease;the association between term1 and term2 is inconclusive.;['term1', 'term2'];term1 term2
oryza sativa;vomiting;oryza sativa l. is consumed globally as a staple food, and its roots have been used as a korean and chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever.;0;1;FoodDisease;term1 l. is consumed globally as a staple food, and its roots have been used as a korean and chinese medical supplement for protection of the stomach and lungs and for amelioration of term2 and fever.;['term1', 'l.', 'consume', 'and', 'term2'];term1 l. consume and term2
beer;allergic contact dermatitis;we present a case of recurrent allergic contact dermatitis (acd) that lasted 6 months in which the patient retrospectively correlated new lesion appearance with consumption of specific types of beer and bread.;0;0;FoodDisease;we present a case of recurrent term2 (acd) that lasted 6 months in which the patient retrospectively correlated new lesion appearance with consumption of specific types of term1 and bread.;['term1', 'of', 'term2'];term1 of term2
blueberries;g6pd) deficiency;however, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (g6pd) deficiency.;1;0;FoodDisease;however, there is evidence in the literature stating that term1 should be avoided in individuals with glucose-6-phosphate dehydrogenase (term2.;['term1', 'avoid', 'in', 'individual', 'with', 'dehydrogenase', 'term2'];term1 avoid in individual with dehydrogenase term2
olive oil;alzheimer's disease;olive oil is a major component of the mediterranean diet suggested to be beneficial to counteract alzheimer's disease.;0;1;FoodDisease;term1 is a major component of the mediterranean diet suggested to be beneficial to counteract term2.;['term1', 'be', 'beneficial', 'counteract', 'term2'];term1 be beneficial counteract term2
avocado soybean unsaponifiables (asu);knee osteoarthritis;"avocado soybean unsaponifiables (asu) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (oa); however, whether asu exerts structure-modifying effects is still to be elucidated.";0;1;FoodDisease;"term1 has proven its safety and effectiveness in clinical studies of term2 (oa); however, whether asu exerts structure-modifying effects is still to be elucidated.";['term1', 'prove', 'safety', 'in', 'study', 'of', 'term2'];term1 prove safety in study of term2
high-calorie diet;obesity;a high-calorie diet (hcd) induces two mutually exacerbating effects contributing to diet-induced obesity (dio): impaired glucose metabolism and increased food consumption.;1;0;FoodDisease;a term1 (hcd) induces two mutually exacerbating effects contributing to diet-induced term2 (dio): impaired glucose metabolism and increased food consumption.;['term1', 'induce', 'term2'];term1 induce term2
milk;infections of the cow udder;infections of the cow udder leading to mastitis and reducing milk quality are a critical challenge facing all dairy farmers.;0;0;FoodDisease;term2 leading to mastitis and reducing term1 quality are a critical challenge facing all dairy farmers.;['term1', 'quality', 'reduce', 'lead', 'term2'];term1 quality reduce lead term2
