text	label	label_id	graph
influence acid epicatechin suggest exert in condition	treat	1	(u_131 / suggest  :2 (u_132 / exert  :1-of (u_14 / in  :2 (u_5 / condition)))  :1 (u_133 / epicatechin  :0 (u_134 / acid))  :1 (u_1 / influence))
influence and cancer ( condition	treat	1	(u_15 / COORD  :0 (u_135 / cancer)  :0 (u_1 / influence  :0 (u_5 / condition)))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence in compound acetate exert effect on condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_68 / effect  :0 (u_132 / exert  :0 (u_136 / acetate))  :0 (u_137 / compound)  :1-of (u_138 / on  :2 (u_5 / condition))))
influence associate consumption of disease include condition	treat	1	(u_39 / include  :2 (u_5 / condition)  :1 (u_9 / consumption  :0 (u_8 / associate)  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_43 / disease))))
influence in occur condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_139 / occur)))
influence olive of drug aim at condition	not	0	(u_140 / olive  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_141 / aim  :0 (u_142 / drug)  :1-of (u_143 / at  :2 (u_5 / condition)))))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence consumption with associate disease condition	not	0	(u_9 / consumption  :0 (u_1 / influence)  :1-of (u_10 / with  :2 (u_5 / condition  :0 (u_43 / disease  :0 (u_8 / associate)))))
influence in rich diet of ability reduce incidence condition	treat	1	(u_23 / reduce  :2 (u_5 / condition  :0 (u_89 / incidence))  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_83 / diet  :0 (u_84 / rich)  :1-of (u_4 / of  :2 (u_144 / ability))))))
influence and condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence health , originate condition	not	0	(u_145 / health  :0 (u_146 / originate  :2 (u_5 / condition))  :0 (u_1 / influence))
influence effect condition	treat	1	(u_5 / condition  :0 (u_68 / effect  :0 (u_1 / influence)))
influence china , find increase risk condition	not	0	(u_1 / influence  :0 (u_147 / find  :2 (u_5 / condition  :0 (u_88 / risk)  :0 (u_148 / increase)))  :2 (u_149 / china))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence kds for condition	not	0	(u_150 / kds  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_5 / condition)))
influence - show from condition	treat	1	(u_69 / show  :0 (u_1 / influence)  :1-of (u_151 / from  :2 (u_5 / condition)))
influence from extract have show reduce condition	treat	1	(u_23 / reduce  :2 (u_5 / condition)  :1 (u_69 / show)  :1 (u_1 / influence  :1-of (u_151 / from  :2 (u_26 / extract))))
influence industry the emergence of condition	not	0	(u_79 / industry  :0 (u_152 / emergence  :1-of (u_4 / of  :2 (u_5 / condition)))  :0 (u_1 / influence))
influence play diet with intake of condition	treat	1	(u_83 / diet  :0 (u_153 / play)  :0 (u_1 / influence)  :1-of (u_10 / with  :2 (u_49 / intake  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence phenol of effect property condition	treat	1	(u_154 / phenol  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_155 / property)  :0 (u_68 / effect))))
influence fruit of effect the risk condition	treat	1	(u_156 / fruit  :0 (u_5 / condition  :0 (u_88 / risk))  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_68 / effect)))
influence cattle in morbidity of cause be condition	not	0	(u_5 / condition  :1 (u_157 / cattle  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_158 / morbidity  :1-of (u_4 / of  :2 (u_85 / cause))))))
influence reduce consumption of condition	treat	1	(u_23 / reduce  :2 (u_9 / consumption  :1-of (u_4 / of  :2 (u_5 / condition)))  :1 (u_1 / influence))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence associate with condition	not	0	(u_8 / associate  :0 (u_1 / influence)  :1-of (u_10 / with  :2 (u_5 / condition)))
influence in diet be risk for condition	not	0	(u_88 / risk  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_83 / diet)))  :1-of (u_2 / for  :2 (u_5 / condition)))
influence and physical condition	treat	1	(u_15 / COORD  :0 (u_5 / condition  :0 (u_159 / physical))  :0 (u_1 / influence))
influence and condition	not	0	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence grain of condition	treat	1	(u_160 / grain  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence grain from glucan fiber be component of condition	treat	1	(u_127 / component  :1 (u_160 / grain  :0 (u_1 / influence)  :1-of (u_151 / from  :2 (u_161 / fiber  :0 (u_162 / glucan))))  :1-of (u_4 / of  :2 (u_5 / condition)))
influence , prevent condition	treat	1	(u_40 / prevent  :2 (u_5 / condition))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence iron copper metal ( condition	not	0	(u_163 / metal  :0 (u_5 / condition)  :0 (u_164 / copper)  :0 (u_165 / iron)  :0 (u_1 / influence))
influence grain , condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_160 / grain)  :0 (u_1 / influence))
influence use for treatment of condition	treat	1	(u_0 / use  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_3 / treatment  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence detect sensitization condition	not	0	(u_166 / detect  :2 (u_5 / condition  :0 (u_167 / sensitization))  :1 (u_1 / influence))
influence vegetable and prevention of condition	not	0	(u_15 / COORD  :0 (u_19 / prevention)  :0 (u_70 / vegetable  :1-of (u_4 / of  :2 (u_5 / condition)))  :0 (u_1 / influence))
influence nut with supplementation show in reduce condition	treat	1	(u_168 / nut  :0 (u_1 / influence)  :1-of (u_10 / with  :2 (u_69 / show  :0 (u_51 / supplementation)  :1-of (u_14 / in  :2 (u_5 / condition  :0 (u_23 / reduce))))))
influence in prevent condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_40 / prevent)))
influence fat of condition	not	0	(u_101 / fat  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence pneumonia condition	not	0	(u_5 / condition  :0 (u_169 / pneumonia)  :0 (u_1 / influence))
influence salt of condition	treat	1	(u_170 / salt  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence food , be trigger condition	not	0	(u_5 / condition  :0 (u_29 / trigger)  :1 (u_20 / food  :0 (u_1 / influence)))
influence acid report prevent condition	treat	1	(u_74 / report  :0 (u_40 / prevent  :2 (u_5 / condition))  :0 (u_134 / acid)  :0 (u_1 / influence))
influence demonstrate , condition	treat	1	(u_171 / demonstrate  :2 (u_5 / condition)  :1 (u_1 / influence))
influence , demonstrate model condition	treat	1	(u_171 / demonstrate  :2 (u_5 / condition  :0 (u_172 / model)))
influence in detect strain virus condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_173 / virus)  :0 (u_174 / strain  :0 (u_166 / detect))))
influence chicken ( virus condition	not	0	(u_175 / chicken  :0 (u_5 / condition  :0 (u_173 / virus))  :0 (u_1 / influence))
influence contain oil use for treat condition	treat	1	(u_176 / contain  :2 (u_0 / use  :0 (u_177 / oil)  :1-of (u_2 / for  :2 (u_5 / condition  :0 (u_37 / treat))))  :1 (u_1 / influence))
influence leave from extract become medicine and asthma dementia condition	treat	1	(u_178 / leave  :0 (u_179 / become  :2 (u_5 / condition  :0 (u_180 / dementia  :0 (u_181 / asthma))  :0 (u_7 / medicine)))  :1 (u_1 / influence)  :1-of (u_151 / from  :2 (u_26 / extract)))
influence of effect in patient condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_68 / effect  :1-of (u_14 / in  :2 (u_5 / condition  :0 (u_76 / patient)))))
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence diet reduce risk condition	treat	1	(u_23 / reduce  :2 (u_5 / condition  :0 (u_88 / risk))  :1 (u_83 / diet  :0 (u_1 / influence)))
influence condition	treat	1	(u_5 / condition  :0 (u_1 / influence))
influence b6 be effective for condition	treat	1	(u_182 / effective  :1 (u_183 / b6  :0 (u_1 / influence))  :1-of (u_2 / for  :2 (u_5 / condition)))
influence , condition	not	0	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence one of condition	treat	1	(u_1 / influence  :2 (u_28 / one  :1-of (u_4 / of  :2 (u_5 / condition))))
influence of consumption regard finding condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_184 / finding)  :0 (u_25 / regard  :0 (u_9 / consumption))))
influence be use in management include condition	treat	1	(u_0 / use  :0 (u_39 / include  :2 (u_5 / condition))  :1 (u_1 / influence)  :1-of (u_14 / in  :2 (u_185 / management)))
influence salmon ( condition	not	0	(u_97 / salmon  :0 (u_5 / condition)  :0 (u_1 / influence))
influence find facilitate and condition	treat	1	(u_147 / find  :2 (u_15 / COORD  :0 (u_5 / condition)  :0 (u_186 / facilitate))  :1 (u_1 / influence))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence use from rizhome of condition	treat	1	(u_0 / use  :0 (u_1 / influence)  :1-of (u_151 / from  :2 (u_187 / rizhome  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence endotoxin and acute condition	not	0	(u_15 / COORD  :0 (u_5 / condition  :0 (u_188 / acute))  :0 (u_189 / endotoxin)  :0 (u_1 / influence))
influence the property condition	not	0	(u_1 / influence  :2 (u_5 / condition  :0 (u_155 / property)))
influence in improve condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_73 / improve)))
influence report have property condition	not	0	(u_33 / have  :2 (u_5 / condition  :0 (u_155 / property))  :1 (u_74 / report  :0 (u_1 / influence)))
influence of disease relate condition	treat	1	(u_52 / relate  :2 (u_5 / condition)  :1 (u_1 / influence  :1-of (u_4 / of  :2 (u_43 / disease))))
influence consume condition	treat	1	(u_107 / consume  :2 (u_5 / condition)  :1 (u_1 / influence))
influence of intake associate with outcome as condition	not	0	(u_10 / with  :1 (u_1 / influence  :1-of (u_4 / of  :2 (u_8 / associate  :0 (u_49 / intake))))  :2 (u_11 / outcome  :1-of (u_6 / as  :2 (u_5 / condition))))
influence in occur outbreak of influenza condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_190 / outbreak  :0 (u_139 / occur)  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_191 / influenza)))))
influence be important for optimize reduce risk of condition	treat	1	(u_192 / important  :1 (u_1 / influence)  :1-of (u_2 / for  :2 (u_193 / optimize  :0 (u_23 / reduce  :2 (u_88 / risk  :1-of (u_4 / of  :2 (u_5 / condition)))))))
influence be increase prevalence of condition	not	0	(u_194 / prevalence  :0 (u_148 / increase)  :1 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence to exposure associate with risk of condition	not	0	(u_1 / influence  :0 (u_8 / associate)  :1-of (u_10 / with  :2 (u_88 / risk  :1-of (u_4 / of  :2 (u_5 / condition))))  :1-of (u_53 / to  :2 (u_195 / exposure)))
influence intake in decrease rate from condition	not	0	(u_49 / intake  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_92 / rate  :0 (u_196 / decrease)  :1-of (u_151 / from  :2 (u_5 / condition)))))
influence decrease and containment of condition	treat	1	(u_15 / COORD  :0 (u_197 / containment  :1-of (u_4 / of  :2 (u_5 / condition)))  :0 (u_196 / decrease)  :0 (u_1 / influence))
influence in low be incidence of condition	treat	1	(u_89 / incidence  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_198 / low)))  :1-of (u_4 / of  :2 (u_5 / condition)))
influence be cause of condition	not	0	(u_85 / cause  :1 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence fruit of biomarker represent in condition	not	0	(u_199 / represent  :1 (u_156 / fruit  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_200 / biomarker)))  :1-of (u_14 / in  :2 (u_5 / condition)))
influence deprivation condition	not	0	(u_5 / condition  :0 (u_201 / deprivation  :0 (u_1 / influence)))
influence be driver condition	not	0	(u_5 / condition  :0 (u_202 / driver)  :1 (u_1 / influence))
influence for size increase in year alongside rate condition	not	0	(u_2 / for  :1 (u_1 / influence)  :2 (u_148 / increase  :0 (u_203 / size)  :1-of (u_14 / in  :2 (u_204 / year  :1-of (u_205 / alongside  :2 (u_5 / condition  :0 (u_92 / rate)))))))
influence be in condition	treat	1	(u_5 / condition  :0 (u_14 / in)  :1 (u_1 / influence))
influence have effect on prevention of condition	treat	1	(u_33 / have  :2 (u_68 / effect  :1-of (u_138 / on  :2 (u_19 / prevention  :1-of (u_4 / of  :2 (u_5 / condition)))))  :1 (u_1 / influence))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence contain nutrient in relation to condition	treat	1	(u_176 / contain  :2 (u_77 / nutrient)  :1 (u_1 / influence)  :1-of (u_14 / in  :2 (u_206 / relation  :1-of (u_53 / to  :2 (u_5 / condition)))))
influence peanut , food of intake by cause disease be condition	not	0	(u_5 / condition  :1 (u_15 / COORD  :0 (u_20 / food  :1-of (u_118 / by  :2 (u_43 / disease  :0 (u_85 / cause)))  :1-of (u_4 / of  :2 (u_49 / intake)))  :0 (u_207 / peanut)  :0 (u_1 / influence)))
influence epa ( condition	not	0	(u_208 / epa  :0 (u_5 / condition)  :0 (u_1 / influence))
influence protein to vegetarian with condition	not	0	(u_209 / protein  :0 (u_1 / influence)  :1-of (u_53 / to  :2 (u_210 / vegetarian  :1-of (u_10 / with  :2 (u_5 / condition)))))
influence cholesterol of condition	not	0	(u_211 / cholesterol  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence be able improve condition	treat	1	(u_212 / able  :2 (u_73 / improve  :2 (u_5 / condition))  :1 (u_1 / influence))
