,term1,term2,sentence,is_cause,is_treat
19,ITCHING,INFECTION OF THE VAGI OR VULVA,"INFECTION OF THE VAGI OR VULVA may cause severe ITCHING burning, soreness, irritation, and a whitish or whitish gray cottage cheese like discharge, often with a curd like appearance.",1,0
20,BLUE LIGHT,PROTANOPE,"E.g., pink flowers, reflecting both red light and BLUE LIGHT may appear just blue to the PROTANOPE",1,0
21,EPIDEMIC,CHOLERA,"The EPIDEMIC of CHOLERA that spread with the Austro Prussian War is estimated to have claimed 165,000 lives in the Austrian Empire.",1,0
22,HYPERCALCEMIA,HYPOCALCEMIA,"The sparing effect on calcium can be beneficial in HYPOCALCEMIA, or unwanted in HYPERCALCEMIA.",1,0
23,WEIGHT LOSS,EATING DISORDER,"Diuretics are often abused by sufferers of EATING DISORDERs, especially bulimics, in attempts at WEIGHT LOSS.",1,0
24,DYSARTHRIA,EXPRESSIVE APHASIA,"EXPRESSIVE APHASIA differs from DYSARTHRIA, which is characterized by a patient's ibility to properly move the muscles of the tongue and mouth to produce speech.",1,0
25,CEREBRAL HEMORRHAGE,EXPRESSIVE APHASIA,"EXPRESSIVE APHASIA can also be caused by trauma to the brain, tumor, CEREBRAL HEMORRHAGE by extradural hematoma.cite jourl author=.",1,0
26,UNRESPONSIVE STARING,ABSENCE SEIZURES,These patients have recurrent ABSENCE SEIZURES brief episodes of UNRESPONSIVE STARING sometimes with minor motor features such as eye blinking or subtle chewing.,1,0
27,CAE,JUVENILE ABSENCE EPILEPSY,"JUVENILE ABSENCE EPILEPSY is an idiopathic generalized epilepsy with later onset that CAE typically in prepubertal adolescence, with the most frequent seizure type being absence seizures.",1,0
28,EPILEPSIA PARTIALIS CONTINUATA,SIMPLE PARTIAL OR COMPLEX PARTIAL SEIZURES,Seizures start as separate SIMPLE PARTIAL OR COMPLEX PARTIAL SEIZURES and may progress to EPILEPSIA PARTIALIS CONTINUATA .,1,0
29,HYPOTONIA,LATE PREGNCY,"Use of benzodiazepines including flunitrazepam in LATE PREGNCY, especially high doses, may result in HYPOTONIA, also known as floppy infant syndrome.",1,0
30,HIGH FASTING BLOOD SUGAR LEVEL,PREDIABETIC AND DIABETIC CONDITIONS,A HIGH FASTING BLOOD SUGAR LEVEL is an indication of PREDIABETIC AND DIABETIC CONDITIONS.,1,0
31,ALCOHOLISM,RCOLEPSY,The only common medical applications for GHB today are in the treatment of RCOLEPSY and more rarely ALCOHOLISM.,1,0
32,INSOMNIA,WITHDRAWAL SYNDROME,"GHB has also been associated with a WITHDRAWAL SYNDROME of INSOMNIA, anxiety, and tremor that usually resolves within three to twelve days.",1,0
33,HEPATOMEGALY,METABOLIC DISEASE,A few syndromes and METABOLIC DISEASEs may be recognizable by clues such as HEPATOMEGALY or micropenis.,1,0
34,A LEFT SIDED PNEUMOTHORAX,LEFT SIDED HEMOTHORAX,Chest x ray showed A LEFT SIDED PNEUMOTHORAX and associated LEFT SIDED HEMOTHORAX .,1,0
35,LATERAL CERVICAL SPINE FRACTURE,POSTERIOR DISLOCATION OF C5 ON C6,Drawing of LATERAL CERVICAL SPINE FRACTURE showing a wedge fracture of C6 with POSTERIOR DISLOCATION OF C5 ON C6.,1,0
36,BLEEDING INTO A CAVERNOUS,SINUS WITHIN THE SPIL CORD,MRI of BLEEDING INTO A CAVERNOUS SINUS WITHIN THE SPIL CORD,1,0
37,ATAXIA,GERMINOMA CELLS INVOLVING THE MEDULLA,Some participants thought that his ATAXIA was caused by GERMINOMA CELLS INVOLVING THE MEDULLA and the inferior cerebellar peduncles.,1,0
38,NEUROLOGIC COMPLICATION,SLE,"Since intramedullary tuberculosis may sometimes mimic NEUROLOGIC COMPLICATION of SLE itself, it may pose diagnostic and therapeutic confusion for clinicians.",1,0
39,SWELLING,DEEP INTERL BLEEDING,"DEEP INTERL BLEEDING e.g. deep muscle bleeding, leading to SWELLING numbness or pain of a limb.",1,0
40,SOFT TISSUE HAEMORRHAGE,CIRRHOSIS,"Two other major causes of death include: hepatitis infections causing CIRRHOSIS and, obstruction of air or blood flow due to SOFT TISSUE HAEMORRHAGE.",1,0
41,MENORRHAGIA,BLEEDING TENDENCY,Adult females may experience MENORRHAGIA due to the BLEEDING TENDENCY.,1,0
42,HIV,SEMEN,"Infection with HIV occurs by the transfer of blood, SEMEN, vagil fluid, pre-ejaculate, or breast milk.",1,0
43,HIV,OPEN WOUND,"In general, if infected blood comes into contact with any OPEN WOUND HIV may be transmitted.",1,0
44,ANOVULATION,POLYCYSTIC OVARY SYNDROME,POLYCYSTIC OVARY SYNDROME - a complex syndrome in women in the reproductive years where there is ANOVULATION and androgen excess commonly displayed as hirsutism.,1,0
45,MUCOUS MEMBRANE,INFLAMMATORY RESPONSE,"Mast cells reside in connective tissues and MUCOUS MEMBRANEs, and regulate the INFLAMMATORY RESPONSE.",1,0
46,OVERNUTRITION,DIABETES,"OVERNUTRITION is also associated with diseases such as DIABETES and obesity, which are known to affect immune function.",1,0
47,ULCER,ENDOMETRIOSIS,"The presence of ENDOMETRIOSIS has a stronger association with typical IC findings on cystoscopy including glomerulations, ULCERs, and reduced bladder capacity.",1,0
48,ELEVATED CREATINE KISE CK LEVELS,NORMAL CK LEVELS,ELEVATED CREATINE KISE CK LEVELS are typical in sIBM but patients can also present with NORMAL CK LEVELS.,1,0
49,REFLEX SYMPATHETIC DYSTROPHY,COMPLEX REGIOL PAIN SYNDROME,Ketamine is being used as an experimental and controversial treatment for COMPLEX REGIOL PAIN SYNDROME also known as REFLEX SYMPATHETIC DYSTROPHY .,1,0
50,MARASMUS,KWASHIORKOR,"KWASHIORKOR was thought to be caused by insufficient protein consumption but with sufficient calorie intake, distinguishing it from MARASMUS.",1,0
51,KWASHIORKOR,AFLATOXIN POISONING,One important factor in the development of KWASHIORKOR is AFLATOXIN POISONING.,1,0
52,TUMOR,SQUAMOUS CELL CARCINOMA,The latter subtype includes TUMORs containing at least 10% each of adenocarcinoma and SQUAMOUS CELL CARCINOMA.,1,0
53,PNEUMONIA,SARCOIDOSIS,"These include infectious causes such as tuberculosis or PNEUMONIA, or inflammatory conditions such as SARCOIDOSIS.",1,0
54,NECK LYMPHEDEMA,THROAT CANCER,Head and NECK LYMPHEDEMA can be caused by surgery or radiation therapy for tongue or THROAT CANCER,1,0
55,SECONDARY LYMPHEDEMA,TESTICULAR CANCERS,"Surgery and/or treatment for prostate, colon and TESTICULAR CANCERS may result in SECONDARY LYMPHEDEMA particularly when lymph nodes have been removed or damaged.",1,0
56,SENSORINEURAL DEAFNESS,RESPIRATORY FAILURE,"The neurological manifestations develop insidiously: they usually begin with SENSORINEURAL DEAFNESS, progress inexorably to paralysis, and often culmite in RESPIRATORY FAILURE.",1,0
57,SEVERE EXACERBATION,THYROID DISEASE,Of particular mention is co existing THYROID DISEASE where episodes of hypothyroidism may precipitate a SEVERE EXACERBATION,1,0
58,MYOPATHY,MITOCHONDRIAL DISORDER,"MITOCHONDRIAL DISORDERs often present as neurological disorders, but can manifest as MYOPATHY, diabetes, multiple endocrinopathy, or a variety of other systemic manifestations.",1,0
59,IMPAIRMENT,HYPOMANIA,"HYPOMANIA is different, as it may cause little or no IMPAIRMENT in function.",1,0
60,MANIC DEPRESSIVE INSANITY,PROGRESSIVE DEMENTIA PRAECOX,"Emil Kraepelin, the German psychopathologist, described an alterting mood disorder labeled MANIC DEPRESSIVE INSANITY which he contrasted with a more malignt PROGRESSIVE DEMENTIA PRAECOX.",1,0
61,MIGRAINE,BRAIN DYSFUNCTION,The vascular theory of MIGRAINEs is now considered secondary to BRAIN DYSFUNCTION and claimed to have been discredited by others.,1,0
62,BRAIN DYSFUNCTION,VASCULAR THEORY OF MIGRAINES,The VASCULAR THEORY OF MIGRAINES is now seen as secondary to BRAIN DYSFUNCTION,1,0
63,MIGRAINE,CLUSTER HEADACHE,MIGRAINE should be differentiated from other causes of headaches such as CLUSTER HEADACHEs.,1,0
64,FATIGABILITY,NEUROMUSCULAR DISEASE,Myasthenia Gravis is a NEUROMUSCULAR DISEASE leading to fluctuating muscle weakness and FATIGABILITY.,1,0
65,OSTEOPOROSIS,AMYLOIDOSIS,Systemic diseases such as AMYLOIDOSIS and sarcoidosis can also lead to OSTEOPOROSIS.,1,0
66,OSTEODYSTROPHY,REL INSUFFICIENCY,REL INSUFFICIENCY can lead to OSTEODYSTROPHY,1,0
67,FRACTURE,OSTEOPENIA,Individuals already diagnosed with OSTEOPENIA or osteoporosis should discuss their exercise program with their physician to avoid FRACTUREs.,1,0
68,BONE HEALING,OSTEOPOROSIS,"Calcium is required to support bone growth, BONE HEALING and maintain bone strength and is one aspect of treatment for OSTEOPOROSIS.",1,0
69,FRACTURE,OSTEOPOROSIS,Although OSTEOPOROSIS patients have an increased mortality rate due to the complications of FRACTURE it is rarely lethal.,1,0
70,INFERTILITY,OVERWEIGHT,"Fat cells also produce estrogen, potentially being the reason why underweight or OVERWEIGHT are risk factors for INFERTILITY.",1,0
71,DYSRHYTHMIA,CENTRAL NERVOUS SYSTEM,"The substance may cause harmful effects on the CENTRAL NERVOUS SYSTEM and heart, resulting in DYSRHYTHMIA seizures, and coma.",1,0
72,PSYCHOSIS,MUMPS,PSYCHOSIS can even be caused by apparently innocuous ailments such as flu or MUMPS.,1,0
73,HEADACHE,SPASTIC PARALYSIS,"It is characterized by confusion, changes in mental status, HEADACHEs, fever, and less commonly seizures and SPASTIC PARALYSIS.",1,0
74,SUFFOCATION,POLIOMYELITIS,"Without respiratory support, consequences of POLIOMYELITIS with respiratory involvement include SUFFOCATION or pneumonia from aspiration of secretions.",1,0
75,VASCULITIS,RHEUMATOID ARTHRITIS,Several forms of VASCULITIS occur in RHEUMATOID ARTHRITIS.,1,0
76,PERFORATING SCLEROMALACIA,EPISCLERITIS,Ocular: The eye is directly affected in the form of EPISCLERITIS which when severe can very rarely progress to PERFORATING SCLEROMALACIA,1,0
77,LOW WHITE BLOOD CELL COUNT,FELTY'S SYNDROME,A LOW WHITE BLOOD CELL COUNT usually only occurs in patients with FELTY'S SYNDROME with an enlarged liver and spleen.,1,0
78,QUADRIPLEGIA,CLUMSINESS,"CLUMSINESS is initially experienced, but without due care this can progress to QUADRIPLEGIA.",1,0
79,MIGRATORY PATTERN OF JOINT INVOLVEMENT,ANTECEDENT STREPTOCOCCAL INFECTION,Acute rheumatic fever can be differentiated from RA by a MIGRATORY PATTERN OF JOINT INVOLVEMENT and evidence of ANTECEDENT STREPTOCOCCAL INFECTION,1,0
80,JOINT MOBILITY,CALCINOSIS,"JOINT MOBILITY especially of the small joints of the hand, may be restricted by CALCINOSIS or skin thickening.",1,0
81,SYSTEMIC SCLEROSIS,CHRONIC REL FAILURE,A distinct form of scleroderma and SYSTEMIC SCLEROSIS may develop in patients with CHRONIC REL FAILURE.,1,0
82,FOCAL EPILEPSY,CORTICAL EXCITABILITY,Generalized epilepsy but not FOCAL EPILEPSY is higher in the morning probably reflecting a diurl variation in CORTICAL EXCITABILITY,1,0
83,SUICIDE RATE,SCHIZOPHRENIA,There is a higher than average SUICIDE RATE associated with SCHIZOPHRENIA.,1,0
84,DELUSIOL JEALOUSY,HALLUCITION,"Findings on the specific role of delusions or HALLUCITIONs have been inconsistent, but have focused on DELUSIOL JEALOUSY, perception of threat and command hallucitions.",1,0
85,EVAPORATION,METHANOL,It is easily prepared on a clean surface by spraying a saturated solution of the salt in METHANOL followed by EVAPORATION,1,0
86,STROKE,OBSTRUCTIVE SLEEP APNEA,STROKE is associated with OBSTRUCTIVE SLEEP APNEA,1,0
87,NOSE BLOWING,SECONDARY BACTERIAL INFECTION,It is thought that sal irritation from NOSE BLOWING leads to the SECONDARY BACTERIAL INFECTION,1,0
88,CHRONIC SINUSITIS,STAPHYLOCOCCUS AUREUS,A combition of aerobic and aerobic bacteria are detected in conjunction with CHRONIC SINUSITIS including STAPHYLOCOCCUS AUREUS and coagulase negative Staphylococci.,1,0
89,HEADACHE,SINUSITIS,"HEADACHE/facial pain or pressure of a dull, constant, or aching sort over the affected sinuses is common with both acute and chronic stages of SINUSITIS.",1,0
90,ULCER,MUCOUS MEMBRANE,"ULCERs and other lesions begin to appear in the MUCOUS MEMBRANEs, almost always in the mouth and lips but also in the genital and al regions.",1,0
91,CELLULITIS,SWELLING,"CELLULITIS may also occur, resulting in localized SWELLING, redness and fever .",1,0
92,MICROSCOPY OF SURFACE SCRAPINGS,BURROW,"When a suspected BURROW is found, diagnosis may be confirmed by MICROSCOPY OF SURFACE SCRAPINGS taken with a scalpel or curette.",1,0
93,DISEASE,LATE LATENT SYPHILIS,LATE LATENT SYPHILIS is infection for greater than two years but without clinical evidence of DISEASE.,1,0
94,SHUFFLING GAIT,DISORDER OF THE SPIL CORD,"Tabes dorsalis, also known as locomotor ataxia, a DISORDER OF THE SPIL CORD often results in a characteristic SHUFFLING GAIT",1,0
95,ISCHEMIC STROKE,INFECTIOUS ARTERITIS,"However, it can also present as an INFECTIOUS ARTERITIS and cause an ISCHEMIC STROKE, an outcome more commonly seen in younger patients.",1,0
96,SECONDARY LESION,TREPONEMAL DISEASE,Microscopy of fluid from the primary or SECONDARY LESION using darkfield illumition can diagnose TREPONEMAL DISEASE with high accuracy.,1,0
97,GLIOSIS,SPIL CORD,"The SPIL CORD is most often affected in such cases, but the optic nerves may show demyelition, loss of axons and GLIOSIS.",1,0
98,GBS,PNEUMONIA,"S. agalactiae, or GBS, causes PNEUMONIA and meningitis in neotes and the elderly, with occasiol systemic bacteremia.",1,0
99,RHABDOMYOLYSIS,HYPERKALEMIA,Succinylcholine is not recommended for muscular paralysis as it may increase the risk of cardiac dysrhythmia from HYPERKALEMIA associated with RHABDOMYOLYSIS,1,0
100,SCOLIOSIS,SYRINGOMYELIA,SCOLIOSIS is sometimes caused by SYRINGOMYELIA.,1,0
101,DISSEMITED TB,MILIARY TUBERCULOSIS,"An especially serious form is DISSEMITED TB, more commonly known as MILIARY TUBERCULOSIS.",1,0
102,IMMUNOSUPPRESSION,HIV,The risk of reactivation increases with IMMUNOSUPPRESSION such as that caused by infection with HIV,1,0
103,INTESTIL HEMORRHAGE,BLEEDING,INTESTIL HEMORRHAGE due to BLEEDING in congested Peyer's patches; this can be very serious but is usually not fatal.,1,0
104,STROKE,TIA,One third of the people with TIA later have recurrent TIAs and one third have a STROKE due to permanent nerve cell loss.,1,0
105,HYPERCHOLESTEROLEMIA,TIA,"TIA is related with other medical conditions like hypertension, heart disease , migraine, cigarette smoking, HYPERCHOLESTEROLEMIA, and diabetes mellitus.",1,0
106,STROKE,HIGH BLOOD PRESSURE,"African Americans generally tend to have a high risk of dying from a STROKE, chiefly due to HIGH BLOOD PRESSURE and uncontrolled diabetes.",1,0
107,TRANSVERSE MYELITIS,SPIL CORD,TRANSVERSE MYELITIS is a neurological disorder caused by an inflammatory process of the SPIL CORD and can cause axol demyelition.,1,0
108,INVOLUNTARY MOVEMENT,GOUT,"Spasticity, INVOLUNTARY MOVEMENT and cognitive retardation as well as manifestations of GOUT are seen in cases of this syndrome.",1,0
109,HYPERURICEMIA,METABOLIC SYNDROME,HYPERURICEMIA is associated with components of METABOLIC SYNDROME and it has been debated for a while to be a component of it.,1,0
110,URETHRITIS,NEISSERIA GONORRHEAE INFECTION,symptoms of URETHRITIS may point at Chlamydia trachomatis or NEISSERIA GONORRHEAE INFECTION.,1,0
111,VAGINISMUS,VAGINITIS,"VAGINISMUS, not to be confused with VAGINITIS, refers to an involuntary tightening of the vagi, due to a conditioned reflex of the muscles in the area.",1,0
112,HEAVY MENSTRUAL BLEEDING,ANEMIA,"Symptoms of deficiency include HEAVY MENSTRUAL BLEEDING in women, ANEMIA, bruising, and bleeding of the gums or nose.",1,0
113,BLEEDING,HEMORRHAGE,"After several weeks, the animals developed HEMORRHAGEs and started BLEEDING.",1,0
114,EPIDEMIC,PLAGUE,"Y. pestis was discovered in 1894 by Alexandre Yersin, a Swiss/French physician and bacteriologist from the Pasteur Institute, during an EPIDEMIC of PLAGUE in Hong Kong.",1,0
115,UTERUS,5 ARD,"Due to the normal action of Muellerian inhibiting factor produced by the testis in utero, individuals with 5 ARD lack a UTERUS and Fallopian tubes.",1,0
116,TUMOR,CANCER,"The decision to prescribe this treatment is based on a patient's overall health, type of TUMOR and extent of the CANCER",1,0
117,USEA/ VOMITING,TOLUENE/ BENZENE AND ETHANOL,For instance a combition of TOLUENE/ BENZENE AND ETHANOL causes greater USEA/ VOMITING than either substance alone.,1,0
118,COGNITIVE DECLINE,ALZHEIMER'S DISEASE,COGNITIVE DECLINE in ALZHEIMER'S DISEASE.,1,0
119,ENCEPHALITIS,TOXOPLASMOSIS,"Certain parasitic or protozoal infestations, such as TOXOPLASMOSIS, malaria, or primary amoebic meningoENCEPHALITIS, can also cause encephalitis in people with compromised immune systems.",1,0
120,ENCEPHALITIS,MENINGITIS,Cerebral abscess is more common in patients with MENINGITIS than ENCEPHALITIS.,1,0
121,HEAD INJURY,OCCUPATIOL ACCIDENTS,"Common causes of HEAD INJURY are motor vehicle traffic collisions, home and OCCUPATIOL ACCIDENTS falls, and assaults.",1,0
122,KIDNEY STONE FORMATION,CROHN'S DISEASE,title=Uriry factors of KIDNEY STONE FORMATION in patients with CROHN'S DISEASE.,1,0
123,NECROSIS,WILSON'S DISEASE,Hemochromatosis and WILSON'S DISEASE can cause liver inflammation and NECROSIS.,1,0
124,DEMENTIA,ENCEPHALOPATHY,"On the other hand, ENCEPHALOPATHY or delirium may develop relatively slowly and resemble DEMENTIA.",1,0
125,AGGRESSIVE BEHAVIOR,ACNE,"Individuals with these genes have been reported to be tall, mentally retarded, have ACNE, and show AGGRESSIVE BEHAVIOR... ",1,0
126,HEMORRHAGIC RASH,THROMBOCYTOPENIA,"A HEMORRHAGIC RASH of characteristically bright red pinpoint spots, known as petechiae can occur later during the illness and is associated with THROMBOCYTOPENIA.",1,0
127,DENGUE SHOCK SYNDROME,FLUID LOSS,"This FLUID LOSS and severe bleeding can cause blood pressure to fall, then DENGUE SHOCK SYNDROME sets in, which has a high mortality rate.",1,0
128,MENINGO ENCEPHALITIS,DENGUE INFECTION CAN AFFECT,"DENGUE INFECTION CAN AFFECT many organs and thus may present unusually as liver dysfunction, rel impairment, MENINGO ENCEPHALITIS or gastroenteritis.",1,0
129,CIRCULATORY SHOCK,BLEEDING,The mainstay of treatment is timely supportive therapy to tackle CIRCULATORY SHOCK due to hemoconcentration and BLEEDING.,1,0
130,DIARRHEA,URATES,Broiler chickens with the toxicoinfectious form may also have DIARRHEA with excess URATES.,1,0
131,STROKE,DISEASE OF THE CENTRAL NERVOUS SYSTEM,"Spastic disorders associated with injury or DISEASE OF THE CENTRAL NERVOUS SYSTEM including trauma, STROKE, multiple sclerosis, Parkinson's disease, or cerebral palsy.",1,0
132,CYCLOTHYMIA,SCHIZOAFFECTIVE DISORDER,"Hypomania is a feature of bipolar II disorder and CYCLOTHYMIA, but can also occur in SCHIZOAFFECTIVE DISORDER.",1,0
133,HYPOMANIA,BIPOLAR I DISORDER,"If left untreated, HYPOMANIA can transition into mania and sometimes psychosis, in which case, BIPOLAR I DISORDER is often diagnosed.",1,0
134,CONVULSION,ELECTRIC SHOCK,CONVULSIONs are also consistent with an ELECTRIC SHOCK.,1,0
135,TRANSCRIPTION,FRIEDREICH ATAXIA,The GAA triplet-repeat expansion in FRIEDREICH ATAXIA interferes with TRANSCRIPTION and may be associated with an unusual D structure.,1,0
136,WATERY SWELLING,ALLERGIC CONJUNCTIVITIS,"ALLERGIC CONJUNCTIVITIS shows pale WATERY SWELLING or edema of the conjunctiva and sometimes the whole eyelid, often with a ropy, non-purulent mucoid discharge.",1,0
137,SORE THROAT,VIRAL CONJUNCTIVITIS,"VIRAL CONJUNCTIVITIS is often associated with an infection of the upper respiratory tract, a common cold, and/or a SORE THROAT.",1,0
138,DEHYDRATION,TYPE 2 DIABETES,"A rarer but equally severe possibility is hyperosmolar nonketotic state, which is more common in TYPE 2 DIABETES and is mainly the result of DEHYDRATION.",1,0
139,ALKALOSIS,PEPTIC ULCER DISEASE,"Over the next several decades, the Sippy regimen resulted in rel failure, ALKALOSIS, and hypercalcemia, mostly in men with PEPTIC ULCER DISEASE.",1,0
140,SLIPPING,PERSPIRATION,"In gymstics, rock-climbing, weight-lifting and tug of war, chalk-now usually magnesium carbote-is applied to the hands to remove PERSPIRATION and reduce SLIPPING.",1,0
141,ASTHMA EXACERBATION,BORDETELLA PERTUSSIS,"Respiratory infections such as rhinovirus, Chlamydia pneumoniae and BORDETELLA PERTUSSIS are correlated with ASTHMA EXACERBATIONs.",1,0
142,SWELLING,EDEMA,Bronchial inflammation also causes rrowing due to EDEMA and SWELLING caused by an immune response to allergens.,1,0
143,FEVER,ASPIRATION PNEUMONIA,"However, with aspiration, FEVERs might also indicate ASPIRATION PNEUMONIA.",1,0
144,IDIOPATHIC OBSTRUCTIVE LUNG DISEASE,MARFAN SYNDROME,MARFAN SYNDROME has also been associated with sleep apnea and IDIOPATHIC OBSTRUCTIVE LUNG DISEASE,1,0
145,DYSAUTONOMIA,MARFAN SYNDROME,MARFAN SYNDROME is also associated with DYSAUTONOMIA.,1,0
146,INCUBATION PERIOD,TETANUS,The INCUBATION PERIOD of TETANUS may be up to several months but is usually about 8 days.,1,0
147,OBLITERATIVE CARDIOMYOPATHY,HYPEREOSINOPHILIC SYNDROME,"A rare form of restrictive cardiomyopathy is the OBLITERATIVE CARDIOMYOPATHY, seen in the HYPEREOSINOPHILIC SYNDROME.",1,0
148,RASH,EPIDEMIC TYPHUS,Caption = RASH caused by EPIDEMIC TYPHUS,1,0
149,HYGIENE,TYPHUS,The deteriorating quality of HYGIENE in camps such as Theresienstadt and Bergen-Belsen created conditions where diseases such as TYPHUS flourished.,1,0
150,ABDOMIL CRAMPS,SEVERE ACUTE HEMORRHAGIC DIARRHEA,E. coli O157:H7 infection often causes SEVERE ACUTE HEMORRHAGIC DIARRHEA and ABDOMIL CRAMPS.,1,0
151,HYPERTENSION,DIABETES MELLITUS,DIABETES MELLITUS and HYPERTENSION associated with shock wave lithotripsy of rel and proximal ureteral stones at 19 years of followup.,1,0
152,WEIGHT LOSS,DYSPHAGIA,"WEIGHT LOSS and eating difficulties due to DYSPHAGIA and other muscle discoordition are common, making nutrition magement increasingly important as the disease advances.",1,0
153,ELECTROPHILIC CHLORITION,CHLORINE GAS,They are formed by ELECTROPHILIC CHLORITION of biphenyl with CHLORINE GAS,1,0
154,HALLUCITIONS,FULL CONSCIOUSNESS,The HALLUCITIONS occur during states of FULL CONSCIOUSNESS and insight into the hallucitory ture of the images is preserved.,1,0
155,GODAL DYSFUNCTION,TURNER SYNDROME,"Girls with TURNER SYNDROME typically experience GODAL DYSFUNCTION , which results in amenorrhea and sterility.",1,0
156,GENETIC COUNSELING,TURNER SYNDROME,"Although the recurrence risk is not increased, GENETIC COUNSELING is often recommended for families who have had a pregncy or child with TURNER SYNDROME.",1,0
157,PARTIAL ANOMALOUS VENOUS DRAIGE,TURNER SYNDROME,"Strangely, TURNER SYNDROME seems to be associated with unusual forms of PARTIAL ANOMALOUS VENOUS DRAIGE",1,0
158,PERSISTENT HYPERTENSION,TURNER SYNDROME,TURNER SYNDROME is often associated with PERSISTENT HYPERTENSION sometimes in childhood.,1,0
159,AORTIC DILATATION,TURNER SYNDROME,Indeed these same risk factors are found in more than 90% of patients with TURNER SYNDROME who develop AORTIC DILATATION.,1,0
160,OSTEOPOROSIS,TURNER SYNDROME,"Due to idequate production of estrogen, many of those with TURNER SYNDROME develop OSTEOPOROSIS.",1,0
161,KIDNEY PROBLEM,HYPERTENSION,"However, as noted above, KIDNEY PROBLEMs may be associated with HYPERTENSION.",1,0
162,DETERIORATION OF PSYCHOSIS,PREEXISTING PSYCHIATRIC DISORDERS,Use of areca nut has been associated with DETERIORATION OF PSYCHOSIS in patients with PREEXISTING PSYCHIATRIC DISORDERS.,1,0
163,JENSEN,ASPERGER SYNDROME,"JENSEN, Audra , When Babies Read: A Practical Guide to Helping Young Children with Hyperlexia, ASPERGER SYNDROME and High-Functioning Autism.",1,0
164,BREATHING PROBLEM,ALLERGIC BRONCHOPULMORY ASPERGILLOSIS,"Among these is ALLERGIC BRONCHOPULMORY ASPERGILLOSIS, in which the body's response to the common fungus Aspergillus fumigatus causes worsening of BREATHING PROBLEMs.",1,0
165,AMENORRHEA,MALNUTRITION,"In severe cases, MALNUTRITION disrupts ovulation and causes AMENORRHEA.",1,0
